Travel destination,Summary
Aguascalientes,"Aguascalientes has several museums including the Contemporary Art Museum, the Discover Interactive Museum of Science and Technology, the José Guadalupe Posada Museum, the National Museum of Death, the Museum of Aguascalientes, the Regional History Museum Aguascalientes, and the Museo Espacio. There is also a Cultural Institute that offers art exhibits."
Ahmedabad,"Ahmedabad offers museum enthusiasts the Calico Museum of Textiles, known for its rare textile collection dating back to the 17th century, and the Lalbhai Dalpatbhai Museum, which features Indian miniature paintings, stone sculptures, terracotta, and various other art forms. Additionally, the city houses the Auto World Vintage Car Museum, showcasing over 100 cars including Rolls Royce and Bentley."
Akita,"Akita has several museums, including the Akarenga-kan Museum, Senshū Museum of Art, Akita Art Museum, Kanto Museum, and Akita Prefectural Museum, featuring art, crafts, historical materials, and exhibits on local culture and history. The Akita Art Museum focuses on the works of Tsuguji (Leonard) Foujita."
Albany (New York),"Albany has the New York State Museum, the largest state museum in the country, along with the Albany Institute of History and Art and the Irish American Heritage Museum. There is also a military arsenal museum in nearby Watervliet."
Albuquerque,"Albuquerque offers a variety of museums including the Albuquerque Museum of Art and History, American International Rattlesnake Museum, ¡Explora! Science Center and Children's Museum, National Museum of Nuclear Science and History, and the Maxwell Museum of Anthropology. Other museums include the Indian Pueblo Cultural Center, National Hispanic Cultural Center, Unser Racing Museum, Turquoise Museum, Meteorite and Geology Museums, and University Art Museum."
Alexandria,"Alexandria has several museums including the Alexandria National Museum with over 1800 archaeological pieces, the Graeco-Roman Museum with a vast collection from the Ptolemaic and Roman periods, the Museum of Fine Arts, the Royal Jewelry Museum, the Cavafy Museum, and the Arabic Calligraphy Museum. The Bibliotheca Alexandrina also includes four museum areas."
Algiers,"Algiers has several museums such as the National Museum of Antiquities and Islamic Art, the National Museum of Fine Arts of Algiers, the Bardo National Museum, the Museum of Popular Arts and Traditions, and the Museum of Modern Art of Algiers. The National Museum of Fine Arts of Algiers is one of the largest arts museums in Africa with over 8,000 works."
Alicante,"Alicante offers several museums including the Archaeological Museum of Alicante (MARQ), the Museum of Fine Arts Gravina (MUBAG), the Museum of Contemporary Art of Alicante (MACA), the Alicante Water Museum, and the Museum of the City of Alicante (MUSA) located in Santa Barbara Castle. The Museu de la Universitat d’Alacant (MUA) is located on the campus of the University of Alicante."
Allentown,"Allentown offers museum options such as the Allentown Art Museum, America On Wheels Museum, Da Vinci Science Center, Lehigh County Historical Society, Mack Experience Center, and Museum of Indian Culture. There is also the Nineteenth Street Theatre that shows art movies and foreign films in between productions."
Amarillo,"Amarillo offers several museums including the Amarillo Museum of Art, the American Quarter Horse Hall of Fame & Museum, the Texas Air & Space Museum, the Kwahadi Museum of the American Indian, and the Jack Sisemore RV Museum. Nearby in Canyon is the Panhandle-Plains Historical Museum, the largest historical museum in Texas, and in Panhandle, the Carson County Square House Museum has pioneer and railroad artifacts."
Amman,"Amman offers the Jordan Archaeological Museum in the citadel, which hosts antiquities from all over Jordan, and the Jordan Museum (Jordan National Museum), a modern museum summarizing Jordan's history. The Jordan National Gallery of Fine Arts showcases international contemporary art with a focus on regional work."
Amritsar,"Amritsar has several museums including the Maharaja Ranjith Singh Museum, Central Sikh Museum, and museums within Gobindgarh Fort that showcase Punjabi clothing, coins, warfare, and multimedia shows. Gobindgarh Fort is being developed into a tourist spot with museums and performances."
Amsterdam,"Amsterdam has an amazing collection of museums, with the most popular ones located at the Museumplein in Zuid, including the Rijksmuseum, the Van Gogh Museum, and the Stedelijk Museum. The Hermitage is located in Plantage, and the Anne Frank House is in the Canal District."
Anchorage,"Anchorage has the largest museum in Alaska, the Anchorage Museum, which tells the story of the North with exhibits on Alaskan history, the first peoples of Alaska, and a Smithsonian Arctic Studies Center; other museums include the Alaska Native Heritage Center, FOAST Law Enforcement Museum, and Alaska Veterans Museum. The Anchorage Museum and Alaska Native Heritage Center offer a Culture Pass Joint Ticket with a free shuttle between the two museums and downtown during the summer."
Ankara,"Ankara has a rich heritage in its museums, galleries and mosques, including the Museum of Anatolian Civilizations, Kelime Museum, Koç Museum, Chess Museum, Museum of the War of Independence, Ethnography Museum, Painting and Sculpture Museum, Hacettepe Art Museum, Ulucanlar Prison Museum and the METU Science and Technology Museum. The city also has various historical sites and monuments such as the Ankara Castle, Roman Theatre and Temple of Augustus."
Antalya,"Antalya offers the Antalya Museum, one of Turkey's largest, with 5000 items illustrating the history of the Mediterranean and Pamphylia regions, as well as the Ethnographic Museum with traditional arts and crafts, and the Toy Museum. There is also the Dervish Lodge Museum, and Atatürk House Museum with memorabilia."
Antananarivo,"Antananarivo features the Andafiavaratra Palace museum, which exhibits items saved from the Rova fire, and the Museum of Art and Archaeology on the University of Antananarivo campus. The reconstructed royal palaces are also major historic landmarks."
Aomori,"Aomori features the Nebuta House Wa Rasse with exhibits about the Nebuta, the Aomori Prefectural Museum with exhibits about the natural and cultural history of Aomori prefecture, and the Munakata Shiko Memorial Museum of Art displaying woodblock prints, paintings, and calligraphy. The Aomori Prefectural Museum of Art has collections by Yoshitomo Nara, Shiko Munakata, and other artists, and is near the Sannai Maruyama historical site with Jomon artifacts."
Apia,"Apia offers museum options such as the Robert Louis Stevenson Museum, located 5 km south of town, and the Falemata'aga - Museum of Samoa, which features Lapita pottery, historical photos, and information about tattoos. The Mulinu'u peninsula also holds the historic observatory."
Appleton,"Appleton offers several museums, including the History Museum at the Castle, Building for Kids, Paper Discovery Center, and Trout Museum of Art. The History Museum at the Castle features local history exhibits, including an interactive one exploring Houdini's life, while the Paper Discovery Center is located in an old paper mill with exhibits on the paper industry."
Aqaba,"Aqaba has a few museums, including the Aqaba Heritage Museum, a simple museum on local history and people, and the Ayla, the old city that was established when Islam came to the area in 622 AD. The archaeological museum which used to be at Aqaba Castle no longer exists."
Arequipa,"Arequipa has several museums, including Museo Santuarios Andinos which exhibits the mummy Dama de Ampato, Monasterio de Santa Catalina which is described as a city within a city, and Monasterio de la Recoleta, which displays Incan and pre-Incan artifacts and Amazonian apparel. Casa del Moral and Casa Tristan del Pozo are grand houses with furniture, paintings, and stone carvings."
Aruba,"Aruba has the Historical Museum, the Archaeological Museum, and the Numismatic Museum in Oranjestad. The Historical Museum contains artifacts and paintings from Aruba's earliest times through colonial times to the present day, while the Archaeological Museum exhibits ceramic, shell, and stone artifacts."
Arusha,"Arusha offers several museums, including the Arusha Declaration Museum dedicated to African socialism, the Arusha Cultural Heritage Centre, and the Arusha National Natural History Museum. The Via Via Cultural Cafe, located in the gardens of the Natural History Museum, is also noted as an interesting cultural center."
Asahikawa,"Asahikawa is home to the Hokkaido Traditional Art Craft Village, which features crafts workshops including pottery, glass craft, wood work, and textile; the Otokoyama Sake Brewing Museum with artifacts dating back to about 1670; and the Arashiyama Pottery Village on a hill overlooking Asahikawa to the north. The city also has the Asahikawa Winter Festival which attracts ice sculpture artists worldwide and hosts the largest snow sculpture in Japan."
Asheville,"Asheville has the Asheville Art Museum, the Smith-McDowell House Museum, the Black Mountain College Museum & Art Center, and the YMI Cultural Center that houses exhibits. There are also many art galleries including American Folk Art & Framing, Ariel Gallery, Asheville Glass Center and Gallery, The Bender Gallery, Blue Spiral 1, Flood Gallery Fine Art Center, The Haen Gallery, Kress Emporium, K2 Studio, Mountain Made, Odyssey Gallery, Studio Chavarria, and Woolworth Walk."
Ashgabat,"Ashgabat offers several museums, including the National Museum, Museum of Fine Arts, Turkmen Carpet Museum, and Museum of Turkmen National Values; these museums house collections of carpets, historical artifacts, and Turkmen paintings. The city also has the Halk Hakydasy Memorial Complex and Independence Monument, which contain historical and cultural exhibits."
Asmara,"Asmara has the National Museum of Eritrea with artifacts spanning over five millennia of the land's history, and it is near the Martyrs National Park. There are also historical buildings like the Asmara Theatre and cathedrals."
Aspen,"This travel destination review does not mention any museums. However, it mentions John Denver Park, named after the famous Country and Folk singer, where lyrics from his most popular songs are inscribed in the creekside boulders."
Astana,"Astana offers several museums, including the National Museum of the Republic of Kazakhstan with interactive displays in English, Russian, and Kazakh, and the Military Historical Museum of the Armed Forces, featuring exhibits about Kazakhstan's military history. There is also the Museum of the First President of the Republic of Kazakhstan, showcasing the life and achievements of Nursultan Nazarbayev."
Asturias,"Asturias offers several cities with museums, including Oviedo, Avilés, and Gijón; Langreo also features a mining museum, while Gijón is notable for the Universidad Laboral de Gijón, which houses a modern art museum."
Asunción,"Asunción offers a rich cultural scene with interesting museums, theaters, and art galleries, including Centro Cultural El Cabildo with indigenous art and Museo del Barro with Paraguayan art, pre-colonial ceramics, and textiles. The city also features historical landmarks like Casa de la Independencia and Estación Central del Ferrocarril which now houses a museum."
Aswan,"Aswan offers the Nubian Museum, which traces the history of the Nubian region from prehistoric times to the construction of the Aswan Dam, and the Aswan Museum on Elephantine Island, which houses items found during excavations on the island. There is also the Aswan International Sculpture Park."
Athens,"Athens is home to museums such as the National Archaeological Museum, the Acropolis Museum, the Benaki and Museum of Cycladic Art, the Agora Museum, and the Kanellopoulos and Folk Art Museums. The National Archaeological Museum's collection includes treasures unearthed from Mycenae, sculpture, frescoes from Santorini, and the remains of the Antikythera mechanism."
Atlanta,"Atlanta offers several museums, including the Fernbank Museum of Natural History, the Jimmy Carter Library & Museum, the Michael C. Carlos Museum, the High Museum of Art, the Museum of Design Atlanta (MODA), the Atlanta Contemporary Art Center, and the Museum of Contemporary Art of Georgia (MOCA GA). There's also the Margaret Mitchell House & Museum, which preserves the Tudor Revival mansion where the Pulitzer Prize–winning novel was written."
Auckland,"Auckland offers museum options such as the Auckland War Memorial Museum with Māori and Polynesian collections, the Museum of Transport and Technology (MOTAT), the New Zealand National Maritime Museum, and the Auckland Art Gallery with national and international art. The Auckland War Memorial Museum displays significant collections and Māori cultural performances, while MOTAT is an interactive museum with over 300,000 items."
Aurangabad,"Aurangabad offers museum enthusiasts a variety of options including the History Museum at Dr. Babasaheb Ambedkar Marathwada University which displays ancient Indian paintings, coins, and artifacts, and the Shrimant Chatrapati Shivaji Raje Museum dedicated to the Maratha warrior Shivaji Maharaj. Additionally, Soneri Mahal, a historic monument converted into a museum, houses ancient Indian pottery, dresses, and local palace remains."
Austin,"Austin has several museums including the Blanton Museum of Art, the Harry Ransom Center, Texas Memorial Museum of Science and History, and the Texas State History Museum. The Bob Bullock Texas State Historical Museum has a huge screen, 400 seats, with 2-D and 3-D capability."
Axum,"Axum is a UNESCO World Heritage site with a museum in the Northern Stelae Field, and the Archaeological Museum of Axum. The Northern Stelae Field contains stelae, tombs, and a museum, while the Archaeological Museum of Axum is also available to visit."
Baghdad,"Baghdad offers museum enthusiasts a variety of options, including the National Museum of Iraq (covering Mesopotamian history), the Baghdadi Museum (depicting life in Baghdad), the National Museum of Modern Art, the Natural History Museum, the Abdel-Karim Kassem Museum, and the Iraqi Post Museum. However, the National Museum of Iraq has had many pieces looted and is only open on special occasions."
Bahrain,"Bahrain offers historical attractions, including the Bahrain National Museum with artifacts dating back 9,000 years and the Beit Al Quran, a museum holding Islamic artifacts of the Qur'an. The Qal'at Al-Bahrain Site Museum contains artifacts from the Dilmun periods through the Islamic era."
Bakersfield,"Bakersfield offers several museums including the Kern County Museum with 56 historic exhibits, the Bakersfield Museum of Art, and the Buena Vista Museum of Natural History which focuses on Geology, Anthropology, and Paleontology. There is also the African-American Historical & Cultural Museum of the SJV, though it is currently closed due to COVID."
Baku,"Baku offers a variety of museums including the National Art Museum of Azerbaijan with over 15,000 artworks, the National Museum of History of Azerbaijan housed in a Renaissance-style mansion, and the Azerbaijan Carpet Museum with a wide range of carpets in a building shaped like a carpet. The Heydar Aliyev Center also houses a museum, and there is a Stone Museum featuring stone carvings from the region."
Baltimore,"Baltimore offers a variety of museums, including the Maryland Science Center, the National Aquarium, the American Visionary Arts Museum, the B&O Railroad Museum, the Baltimore Streetcar Museum, the Walters Art Museum, the Baltimore Museum of Art, and the Reginald F. Lewis Museum of Black History. The Inner Harbor is a must-see attraction for visitors to Baltimore, not least because of the excellent museums and other attractions it offers."
Bamako,"Bamako offers museum options such as the National Museum of Mali which displays ethnographic exhibits and contemporary art, and the Museum of Women Muso Kunda Museum which features portraits and items related to women and Malian life. There is also the Cultural Palace Hamadou Hampaté Ba, which is the national performing arts center."
Bangalore,"Bangalore has several museums including the Government Museum, Visvesvaraya Industrial & Technological Museum, Museum of Art & Photography (MAP), HAL Aerospace Museum, Indian Music Experience Museum, Kempegowda Museum, National Gallery of Modern Art (NGMA), and NIMHANS Brain Museum. The Government Museum is an archaeological museum and the Indian Music Experience Museum is an interactive music museum."
Bangkok,"Bangkok has museums dedicated to history and culture, including the National Museum, the Museum of Siam, Rattanakosin Museum, and the King Prajadhipok Museum. Jim Thompson's House is a popular museum showcasing traditional Thai-style residences."
Barbados,"Bridgetown has historic areas around the Careenage (old harbour) in the city centre and Garrison Savannah to the south which has the George Washington House. Other grand houses from the plantation and colonial eras include Wildey House in Bridgetown, and Sunbury Plantation House and Codrington College in Central Eastern Barbados, with several others only open on special occasions."
Barcelona,"Barcelona offers a wealth of attractions for museum enthusiasts, including free entry to over 25 museums with the Barcelona Card, and an Art Passport covering six main art museums like MACBA, Museu Picasso, and Museu Nacional d’Art de Catalunya. The city also features the Museu d'Història de Barcelona in the Barri Gòtic, Museu Blau (Museum of Natural History), and CosmoCaixa (Museum of Science)."
Bari,"Bari offers cultural attractions such as the Basilica of Saint Nicholas, the Cathedral of San Sabino, and the Hohenstaufen Castle, with the Fortino of Saint Antony being an old fort that has been turned into a modern art gallery. Chiesa di Sant’Anna, a former synagogue, now serves as a museum displaying Jewish history in Apulia."
Barranquilla,"Barranquilla offers cultural attractions such as the Teatro Amira de la Rosa, the Old Customs building which serves as a library and museum, and the Museum of Gold. Additionally, Museo Mapuka is an archaeological museum of the Karib Peoples located in Universidad del Norte, Colombia."
Basra,"Basra offers museum options such as the Basra Museum, Basta Natural History Museum, and Basra Heritage Museum housed in the former Greek consulate. There is also a small museum of religious artifacts at Saint Thomas Chaldean Church."
Bathurst (New Brunswick),"This travel destination review does not contain information about museums. Therefore, I cannot produce a summary based on this query."
Baton Rouge,"Baton Rouge offers several museums including the Louisiana Art and Science Museum, Capitol Park Museum which features exhibits related to Louisiana culture, LSU Rural Life Museum, and Pentagon Barracks Museum. The Old State Capitol is a 19th-century castle serving as the State Capitol before Gov. Huey P. Long built the new skyscraper and now functions as a museum."
Batumi,"Batumi has several museums, including the Archaeological Museum, Adjara Art Museum, The Nobel Brothers Batumi Technological Museum, and Khariton Akhvlediani Museum. The Archaeological Museum has Georgian, Russian, and English information and guides, foreign coins, bronze vessels, glassware, and a good collection of classical vases."
Beihai,"Beihai features Underwater World, an oceanorama and exhibition center of shellfish and coral. There is also a museum in the Beihai Jinhaiwan Mangrove Forest Ecotourism Area about the Tanka people."
Beijing,"Beijing has many museums, including the Palace Museum in the Forbidden City, the National Museum, the Military Museum, and the Capital Museum, but most are not up to the standards of museums in cities such as Paris, Rome, New York, or Taipei. However, China's government has invested heavily in their development, and has made most of them (not the Forbidden City) free to visit."
Beirut,"Beirut has several museums, including the National Museum of Beirut with artifacts from prehistoric times to the medieval Mamluk period, the Sursock Museum exhibiting contemporary and modern art, the AUB Museum with archeology and history, and the Silk Museum. Other museums in the greater Beirut area include the Musee Emmanuel Paul Guiragossian and the Beirut Art Center."
Belfast,"Belfast has several museums, including the Ulster Museum, Irish Republican History Museum, Museum of Orange Heritage, Ulster Folk Museum, and Ulster Transport Museum. There is also the Royal Ulster Rifles Regimental Museum."
Belgrade,"Belgrade offers museum enthusiasts a variety of options, including the National Museum with extensive art collections, the Historical Museum of Serbia, the Nikola Tesla Museum, and the Museum of Contemporary Art. Additionally, there are specialized museums such as the Ethnographic Museum, the Military Museum, and the Museum of Illusions."
Belize City,"Belize City is the cultural center of Belize and offers a number of cultural attractions like the Bliss Centre for the Performing Arts, the Image Factory Art Foundation, and the Museum of Belize. There is also the Eco-museum Belize, a living museum dedicated to showcasing nature in harmony with Belizean culture."
Belo Horizonte,"Belo Horizonte has several museums, including the Museum of Arts and Crafts, installed in the former Central Train Station, and the Museu Histórico Abílio Barreto, dedicated to the city's history. There is also the Museu de Ciencias Naturais with exhibits of mollusks, whales, and Brazilian forest animals."
Belém,"Belém offers museum options such as the Museu de Artes de Belém and the Museu Emílio Goeldi, along with historical sites like Forte do Castelo and Teatro da Paz. The Complexo Feliz Lusitânia and Casa das Onze Janelas are also potential attractions for museum enthusiasts."
Bergen,"Bergen has several art museums, including KODE Art Museums, which houses art from the Renaissance as well as contemporary art and several works by Edvard Munch, and also has a museum of design and decorative art, Permaneten, which contains Norway's largest collection of Chinese art. The Bergen Museum also has the Cultural History Collections, which includes archeology, anthropology and art- and culture studies sections, and has a unique exhibition of Norwegian medieval church art."
Berlin,"Berlin has a vast array of museums, with many of them located in the Mitte district, including the Museumsinsel, and the Kulturforum. The Museums Pass grants entrance to the regular exhibitions of approximately 30 state-run museums and public foundations."
Bermuda,"Bermuda Aquarium, Museum, and Zoo has over 300 birds, reptiles and mammals and 200 species of fish and the Bermuda Underwater Exploration Institute is located just outside of Hamilton. The Bermuda National Trust cares for a museum at the Globe Hotel and the National Museum of Bermuda has been redeveloped into a tourist attraction."
Bhopal,"Bhopal has several museums, including the Regional Museum of Natural History, the Museum of Mankind (Indira Gandhi Rashtriya Manav Sangrahalaya), and the MP Tribal Museum, which features exhibits on the ways of living of various tribes across India. There is also the Shaurya Smarak war memorial, museum, and public park honouring Indian soldiers."
Bhubaneswar,"Bhubaneswar offers museums such as the Odisha State Museum, Museum of Tribal Art & Artefacts, Regional Museum of Natural History, and Odisha Crafts Museum. These museums feature collections of sculptures, coins, tribal artifacts, and natural history specimens."
Bilbao,"Bilbao offers several museums including the Guggenheim Museum, Museo de Bellas Artes (Museum of Fine Art), Basque Museum, Itsasmuseum (maritime museum), Museo Taurino (Bullfighting Museum), Museo Diocesano de Arte Sacro (Museum of Sacred Art), and Museo de Reproducciones Artísticas (Museum of Artistic Reproductions). The city also has a Cathedral of St. James and the Azkuna Zentroa which contains a library."
Billings,"Billings offers museum options such as the Moss Mansion Historic House Museum, the Museum of Women's History, the Western Heritage Center, the Yellowstone Art Museum, and the Huntley Project Museum. The Western Heritage Center features early Montana artifacts and walking tours of downtown Billings, while the Yellowstone Art Museum showcases contemporary and historical art from Montana and the Rocky Mountain region."
Binghamton,"Binghamton has several museums, including the Bundy Arts and Victorian Museum, the Discovery Center of the Southern Tier, the Phelps Mansion Museum, and the Roberson Museum and Science Center. The Roberson Museum and Science Center includes a planetarium, and also hosts the Binghamton Visitor's Center."
Birmingham,"Birmingham offers museum enthusiasts a variety of attractions, including Aston Hall, the Barber Institute of Fine Arts, Thinktank, the Birmingham Science Museum, and the Museum of the Jewellery Quarter. The Birmingham Museum and Art Gallery is closed until 2024."
Bishkek,"Bishkek has the National Historical Museum with three floors of exhibits, the M V Frunze Museum dedicated to the military figure, and the Fine Arts Museum ""Gapar Aitiev"" featuring local art. Most museums are closed on Mondays."
Bismarck,"Bismarck offers the North Dakota Heritage Center and State Museum, which displays Plains Indian artifacts and exhibits of North Dakota's history, and the Old Governor's Mansion, a restored Victorian mansion with exhibits. Other attractions include the Bismarck Art and Galleries Association, Camp Hancock State Historic Site, Chief Looking's Village, and Double Ditch Indian Village."
Bissau,"Bissau offers the National Ethnographic Museum on the university campus, featuring Bissau-Guinean wooden masks, statues, baskets, and cloths; it also has a helpful staff that explains the purpose of the different items and connects them to traditional spiritual beliefs. The city also has the São José de Amura fort, which contains the mausoleum of national hero Amilcar Cabral and tombs of other revolutionaries."
Blantyre,"Blantyre offers the Museum of Malawi (Chichiri Museum), which features artifacts such as a royal ceremonial stool from the 16th century and an exhibition of traditional dances. There is also Mandala House, which houses the La Caverna Art Gallery and a museum section."
Blenheim (New Zealand),"Blenheim offers the Omaka Aviation Heritage Centre with a collection of restored World War I planes and the Marlborough Museum, which houses artifacts and displays related to local history, including a replica early Blenheim village. There is also the Millennium Art Gallery that displays art and appreciates donations."
Bloemfontein,"Bloemfontein hosts numerous museums, including the National Women's Monument, the Anglo-Boer War Museum, the National Museum, and the Oliewenhuis Art Museum. Other museums include the Choet Visser Rugby Museum, Fire Station Museum, Presidency Museum, SA Armour Museum, and Queens Fort Military Museum."
Bodrum,"Bodrum Castle houses the Museum of Underwater Archaeology, displaying finds from local shipwrecks such as the Uluburun wreck from the 14th century BC, and the Maritime Museum showcases Bodrum's sailing and fishing traditions. The Zeki Müren Art Museum displays memorabilia of the flamboyant singer-songwriter, including his costumes."
Bodø,"Bodø has the Norwegian Aviation Museum, which showcases the history of aviation and highlights from the Cold War. Kjerringøy trading post is a 19th-century trade centre typical for Northern Norway and is now a museum."
Bogotá,"Bogotá is a vibrant metropolis with world-class museums, including the National Museum of Colombia, the Gold Museum, and the Botero Museum, and has earned the name ""The Athens of South America"" due to its museums and cultural institutions. La Candelaria is Bogota's majestic historic district, filled with historical museums, 500-year old plazas and churches, and various government institutions."
Boise,"Boise is home to several museums, including the Basque Museum & Cultural Center, Boise Art Museum, Idaho State Historical Museum, Discovery Center of Idaho, Idaho Black History Museum, Idaho Museum of Mining and Geology, and Idaho Museum of Military History. Julia Davis Park contains the Boise Art Museum, the Idaho State Historical Museum, and the Idaho Black History Museum."
Bologna,"Bologna has numerous museums including the Museo Civico Archeologico, Collezioni Comunali d'Arte, Museo Civico Medievale, Museo Davia Bargellini, Museo d'Arte Moderna di Bologna (MAMbo), Museo Morandi, and the International museum and library of music. There is also the Sistema Museale di Ateneo which is a museum system of the University of Bologna and the Genus Bononiae, another circle of museums operated by the Fondazione Cassa di Risparmio."
Bordeaux,"Bordeaux has several museums, including the Musée des Beaux-Arts, Musée National des Douanes, Musée D'Aquitaine, Musée d'Art Contemporain (CAPC), Musée du Vin et du Négoce, and Musée Mer Marine. There is also Muséum de Bordeaux - sciences et nature, and Base sous-marine, wartime submarine pens, now used for art installations."
Boston,"Boston has several museums, including the Museum of Fine Arts, the Isabella Stewart Gardner Museum, the Institute of Contemporary Art, the Boston Children's Museum, the Museum of Science, the Museum of African American History, and the JFK Presidential Library and Museum, along with Harvard University's Harvard Museum of Natural History and the Peabody Museum of Archaeology and Ethnology in nearby Cambridge."
Bozeman,"Bozeman has several museums including the American Computer & Robotics Museum, the Children's Museum of Bozeman, the Gallatin History Museum, the Museum of the Rockies, and the Pioneer Museum. The Emerson Center for the Arts and Culture and several art galleries are also located in Bozeman."
Brasilia,"Brasilia offers museums such as the Brasilia National Museum, Juscelino Kubitschek Memorial, Monetary Museum, and National Theater Claudio Santoro, along with art galleries like Espaço Cultural Contemporâneo and CAIXA Cultural. The city also features public works of art by Brazilian artists like Burle Marx, Athos Bulcão, and Oscar Niemeyer."
Brazzaville,"Brazzaville has the Pierre Savorgnan de Brazza Memorial, a museum tracing the history and culture of the Republic of the Congo. There is also the Poto Poto Painting School, offering an excellent selection of paintings from local artists."
Bremen,"Bremen offers several museums including the Überseemuseum (Natural History and Ethnographic Museum), Focke Museum, Universum Science Center, Hafenmuseum Speicher XI, Wuseum (Museum of the football club SV Werder Bremen), Kunsthalle (Museum of Arts), Gerhard-Marcks-Haus, Wilhelm-Wagenfeld-Haus, and Weserburg. The Bremer Kunsthalle has one of North Germany's finest collections."
Brindisi,"Brindisi offers the Museo Archeologico ""Ribezzo"" which features archeological exhibits, and the Santa Maria del Casale church which holds 14th century frescoes in late-Byzantine style. The Cathedral also contains a polychrome mosaic from 1178."
Brisbane,"Brisbane offers museum enthusiasts several options, including the Museum of Brisbane in City Hall, Queensland Museum in South Bank, Queensland Art Gallery, Gallery of Modern Art (GOMA), Queensland Maritime Museum, MacArthur Museum, Commissariat Store Museum, Museum of Lands, Mapping and Surveying, and UQ Anthropology Museum. The Sciencentre, located within the Queensland Museum, is a hands-on, interactive science facility."
Bristol,"Bristol offers museum enthusiasts a variety of options, including the Aerospace Bristol Museum with a rich history in aerospace, the M Shed Museum focusing on the history of Bristol, and the Bristol Museum and Art Gallery housing a diverse range of objects from sea dinosaurs to art. There is also the We The Curious (formerly @Bristol), a science-themed interactive museum with labs for engineering and life sciences, a makerspace with 3D printers, and a planetarium."
Brownsville (Texas),"Brownsville is home to many museums, art galleries, and historic buildings, including the Brownsville Museum of Fine Arts, the Children's Museum of Brownsville, and the Historic Brownsville Museum. There are also several historical buildings in Downtown with French and Spanish architectural influences."
Brussels,"Brussels boasts over 80 museums in the Brussels Capital Region, including the Museum for Natural Sciences, the Museum of Military History, the Museum of Figurines, the Marc Sleen Museum, and the Sewer Museum. The Brussels Card offers free entrance to 40 of the most popular museums."
