Query,Restaurant,Relevance Score
Suggest a place with varied seating options.,Boucherie,2
Suggest a place with varied seating options.,Hilton New Orleans Riverside,1
Suggest a place with varied seating options.,Tiki Tolteca,2
Suggest a place with varied seating options.,Ugly Dog Saloon & BBQ,2
Suggest a place with varied seating options.,Pizza Domenica,2
Suggest a place with varied seating options.,Mimi's In The Marigny,3
Suggest a place with varied seating options.,Sake Cafe Uptown,2
Suggest a place with varied seating options.,Tableau,3
Suggest a place with varied seating options.,Embassy Suites by Hilton New Orleans,2
Suggest a place with varied seating options.,St Roch Market,3
Suggest a place with varied seating options.,Irene's,2
Suggest a place with varied seating options.,Atchafalaya Restaurant,2
Suggest a place with varied seating options.,Turtle Bay,2
Suggest a place with varied seating options.,Morning Call Coffee Stand,2
Suggest a place with varied seating options.,Avenue Cafe,3
Suggest a place with varied seating options.,Angeline,2
Suggest a place with varied seating options.,Paladar 511,3
Suggest a place with varied seating options.,Mizado Latin Kitchen,3
Suggest a place with varied seating options.,WINO  Wine Institute of New Orleans,2
Suggest a place with varied seating options.,The Old No 77 Hotel and Chandlery,1
Suggest a place with varied seating options.,The Blue Crab Restaurant & Oyster Bar,2
Suggest a place with varied seating options.,Coquette,2
Suggest a place with varied seating options.,Three Muses,2
Suggest a place with varied seating options.,The Grill,3
Suggest a place with varied seating options.,Yuki Izakaya,2
Suggest a place with varied seating options.,The Italian Barrel,2
Suggest a place with varied seating options.,Napoleon House,3
Suggest a place with varied seating options.,Barcadia,2
Suggest a place with varied seating options.,Cornet,2
Suggest a place with varied seating options.,Slice Pizzeria,2
Suggest a place with varied seating options.,Commander's Palace,2
Suggest a place with varied seating options.,Pirates Alley Cafe,3
Suggest a place with varied seating options.,Snug Harbor Jazz Bistro,2
Suggest a place with varied seating options.,Herbsaint,2
Suggest a place with varied seating options.,Gris-Gris,3
Suggest a place with varied seating options.,Cafe Rose Nicaud,2
Suggest a place with varied seating options.,Ernst Cafe,2
Suggest a place with varied seating options.,Muriel's Jackson Square,3
Suggest a place with varied seating options.,Restaurant R'evolution,2
Suggest a place with varied seating options.,Café at The Square,2
Suggest a place with varied seating options.,The American Sector,2
Suggest a place with varied seating options.,Palace Café,3
Suggest a place with varied seating options.,Nonna Mia Cafe & Pizzeria,3
Suggest a place with varied seating options.,Apolline Restaurant,2
Suggest a place with varied seating options.,SukhoThai,1
Suggest a place with varied seating options.,Louisiana Bistro,1
Suggest a place with varied seating options.,Jacques-Imo's Cafe,2
Suggest a place with varied seating options.,The Marigny Brasserie,2
Suggest a place with varied seating options.,Tracey's Original Irish Channel Bar,2
Suggest a place with varied seating options.,Manning's Sports Bar and Grill,2
Suggest a place with varied seating options.,La Petite Grocery,2
Suggest a place with varied seating options.,Red Dog Diner,2
Suggest a place with varied seating options.,Central City BBQ,2
Suggest a place with varied seating options.,Tout De Suite Cafe,2
Suggest a place with varied seating options.,French Truck Coffee,3
Suggest a place with varied seating options.,Baru Bistro & Tapas,2
Suggest a place with varied seating options.,The Gallery Venue at Tomas Bistro,2
Suggest a place with varied seating options.,Del Fuego,3
Suggest a place with varied seating options.,El Gato Negro,2
Suggest a place with varied seating options.,Saba,2
Suggest a place with varied seating options.,Booty's Street Food,2
Suggest a place with varied seating options.,Wayfare,2
Suggest a place with varied seating options.,The Pelican Club,2
Suggest a place with varied seating options.,Slim Goodies Diner,2
Suggest a place with varied seating options.,Blue Oak BBQ,3
Suggest a place with varied seating options.,Charcoal's Gourmet Burger Bar,2
Suggest a place with varied seating options.,Saffron nola,2
Suggest a place with varied seating options.,Riccobono’s Panola St. Cafe,2
Suggest a place with varied seating options.,Salon by Sucré,2
Suggest a place with varied seating options.,Magasin Vietnamese Cafe,2
Suggest a place with varied seating options.,New Orleans Cake Café & Bakery,2
Suggest a place with varied seating options.,Arnaud's French 75 Bar,3
Suggest a place with varied seating options.,HiVolt Coffee,3
Suggest a place with varied seating options.,McClure's,2
Suggest a place with varied seating options.,Walk-On's Sports Bistreaux - New Orleans,2
Suggest a place with varied seating options.,The Jazz Playhouse,2
Suggest a place with varied seating options.,Sazerac Bar,2
Suggest a place with varied seating options.,Josephine Estelle,1
Suggest a place with varied seating options.,Refuel Cafe,2
Suggest a place with varied seating options.,Root,2
Suggest a place with varied seating options.,Cafe Abyssinia,2
Suggest a place with varied seating options.,Crescent City Brewhouse,2
Suggest a place with varied seating options.,New Orleans Hamburger & Seafood Co,3
Suggest a place with varied seating options.,Rock-n-Saké Bar & Sushi,2
Suggest a place with varied seating options.,Tommy's Cuisine,2
Suggest a place with varied seating options.,Galatoire's Restaurant,2
Suggest a place with varied seating options.,Buffa's Bar & Restaurant,2
Suggest a place with varied seating options.,GG's Dine-O-Rama,2
Suggest a place with varied seating options.,Upperline,2
Suggest a place with varied seating options.,SoBou,2
Suggest a place with varied seating options.,Lebanon's Cafe,2
Suggest a place with varied seating options.,Nomiya,2
Suggest a place with varied seating options.,Lula Restaurant Distillery,2
Suggest a place with varied seating options.,Coop's Place,2
Suggest a place with varied seating options.,Cavan,2
Suggest a place with varied seating options.,Elizabeth's Restaurant,2
Suggest a place with varied seating options.,Lucy's Retired Surfers Bar & Restaurant,2
Suggest a place with varied seating options.,Little Gem Saloon,2
Suggest a place with varied seating options.,Vincent's Italian Cuisine,2
Suggest a place with varied seating options.,Trinity Restaurant New Orleans,2
Suggest a place with varied seating options.,Nolé,3
Suggest a place with varied seating options.,Milk Bar,2
Suggest a place with varied seating options.,Mopho,2
Suggest a place with varied seating options.,Backspace Bar & Kitchen,2
Suggest a place with varied seating options.,Eat New Orleans,2
Suggest a place with varied seating options.,Squeal,1
Suggest a place with varied seating options.,Chartres House,3
Suggest a place with varied seating options.,Casa Borrega,2
Suggest a place with varied seating options.,biscuit & buns on banks,1
Suggest a place with varied seating options.,K-Paul's Louisiana Kitchen,2
Suggest a place with varied seating options.,Restaurant Rebirth,2
Suggest a place with varied seating options.,Rib Room,2
Suggest a place with varied seating options.,Bearcat Cafe,2
Suggest a place with varied seating options.,Fritzel's European Jazz Pub,2
Suggest a place with varied seating options.,Little Tokyo Small Plates & Noodle Bar,2
Suggest a place with varied seating options.,La Thai Uptown,2
Suggest a place with varied seating options.,Sofia,2
Suggest a place with varied seating options.,Annunciation,2
Suggest a place with varied seating options.,Heard Dat Kitchen,2
Suggest a place with varied seating options.,Cochon,2
Suggest a place with varied seating options.,Gyu-Kaku Japanese BBQ,2
Suggest a place with varied seating options.,Emeril's Delmonico,2
Suggest a place with varied seating options.,Midway Pizza,2
Suggest a place with varied seating options.,The Jimani,1
Suggest a place with varied seating options.,Vacherie,2
Suggest a place with varied seating options.,Maïs Arepas,2
Suggest a place with varied seating options.,Namese,3
Suggest a place with varied seating options.,Borgne,1
Suggest a place with varied seating options.,Crescent City Steak House,3
Suggest a place with varied seating options.,Tujague's Restaurant,2
Suggest a place with varied seating options.,Criollo Restaurant,2
Suggest a place with varied seating options.,Arnaud's Restaurant,2
Suggest a place with varied seating options.,Justine,2
Suggest a place with varied seating options.,Café Adelaide,2
Suggest a place with varied seating options.,Cafe Sbisa,2
Suggest a place with varied seating options.,Russell's Marina Grill,2
Suggest a place with varied seating options.,Evangeline,2
Suggest a place with varied seating options.,Briquette,2
Suggest a place with varied seating options.,Port Of Call,2
Suggest a place with varied seating options.,Superior Seafood & Oyster Bar,2
Suggest a place with varied seating options.,Ye Olde College Inn,2
Suggest a place with varied seating options.,Lola's,1
Suggest a place with varied seating options.,Pat O'Brien's Courtyard Restaurant,2
Suggest a place with varied seating options.,Katie's Restaurant & Bar,2
Suggest a place with varied seating options.,The Irish House,2
Suggest a place with varied seating options.,Kingfish,2
Suggest a place with varied seating options.,Curio,3
Suggest a place with varied seating options.,Brennan's Restaurant,2
Suggest a place with varied seating options.,Café Du Monde,2
Suggest a place with varied seating options.,Broussard's,2
Suggest a place with varied seating options.,Brennan's,2
Suggest a place with varied seating options.,Pêche,2
Suggest a place with varied seating options.,New Orleans Creole Cookery,3
Suggest a place with varied seating options.,St Charles Tavern,2
Suggest a place with varied seating options.,Tartine,2
Suggest a place with varied seating options.,Mr John's Steakhouse,1
Suggest a place with varied seating options.,Felipe's Mexican Taqueria - Mid City,3
Suggest a place with varied seating options.,Saint Lawrence,1
Suggest a place with varied seating options.,Yo Mama's Bar & Grill,2
Suggest a place with varied seating options.,Tito's Ceviche & Pisco,2
Suggest a place with varied seating options.,Compère Lapin,2
Suggest a place with varied seating options.,High Hat Cafe,1
Suggest a place with varied seating options.,Galatoire's 33 Bar & Steak,2
Suggest a place with varied seating options.,Attiki Bar and Grill,2
Suggest a place with varied seating options.,Noodle & Pie,1
Suggest a place with varied seating options.,Amici,2
Suggest a place with varied seating options.,House of Blues New Orleans,2
Suggest a place with varied seating options.,Seaworthy,2
Suggest a place with varied seating options.,Bamboula's,2
Suggest a place with varied seating options.,Willa Jean,2
Suggest a place with varied seating options.,Merchant,3
Suggest a place with varied seating options.,Chophouse New Orleans,2
Suggest a place with varied seating options.,Hoshun Restaurant,2
Suggest a place with varied seating options.,Dickie Brennan's Steakhouse,2
Suggest a place with varied seating options.,The American Sports Saloon,2
Suggest a place with varied seating options.,Angeli on Decatur,1
Suggest a place with varied seating options.,Adolfo's,2
Suggest a place with varied seating options.,Houston's Restaurant,2
Suggest a place with varied seating options.,Parasol's,1
Suggest a place with varied seating options.,Marcello's Restaurant & Wine Bar,2
Suggest a place with varied seating options.,Red Fish Grill,1
Suggest a place with varied seating options.,Superior Grill,3
Suggest a place with varied seating options.,Nirvana Indian Cuisine,2
Suggest a place with varied seating options.,30_90 NOLA,2
Suggest a place with varied seating options.,HORN'S EATERY,2
Suggest a place with varied seating options.,Deanie's Seafood,2
Suggest a place with varied seating options.,Rebellion Bar & Urban Kitchen,2
Suggest a place with varied seating options.,The Market Cafe,2
Suggest a place with varied seating options.,Bayou Hot Wings,1
Suggest a place with varied seating options.,Ignatius' Rue de La Course Coffeehouse,2
Suggest a place with varied seating options.,Felipe's Mexican Taqueria - Uptown,3
Suggest a place with varied seating options.,Majoria's Commerce Restaurant,2
Suggest a place with varied seating options.,Domenica,2
Suggest a place with varied seating options.,Fullblast Brunch,2
Suggest a place with varied seating options.,Felix's Restaurant & Oyster Bar,2
Suggest a place with varied seating options.,Saint Cecilia,2
Suggest a place with varied seating options.,Mr. B's Bistro,1
Suggest a place with varied seating options.,13 Monaghan,2
Suggest a place with varied seating options.,DTB,3
Suggest a place with varied seating options.,Cafe Pontalba,2
Suggest a place with varied seating options.,Ole Saint,2
Suggest a place with varied seating options.,Cajun Mike's Pub & Grub,1
Suggest a place with varied seating options.,Ruth's Chris Steak House,2
Suggest a place with varied seating options.,Bennachin Restaurant,1
Suggest a place with varied seating options.,Cafe Conti,1
Suggest a place with varied seating options.,Legacy Kitchen's Craft Tavern,2
Suggest a place with varied seating options.,Ancora,2
Suggest a place with varied seating options.,Mayas,2
Suggest a place with varied seating options.,Hobnobber's Variety Bar & Restaurant,2
Suggest a place with varied seating options.,Huck Finn's Cafe,1
Suggest a place with varied seating options.,Basin Seafood & Spirits,2
Suggest a place with varied seating options.,Killer Poboys,1
Suggest a place with varied seating options.,Louisiana Pizza Kitchen,2
Suggest a place with varied seating options.,Wakin' Bakin',2
Suggest a place with varied seating options.,Brown Butter Southern Kitchen & Bar,2
Suggest a place with varied seating options.,Carmo,2
Suggest a place with varied seating options.,Mid City Pizza,2
Suggest a place with varied seating options.,Frey Smoked Meat,2
Suggest a place with varied seating options.,New Orleans Famous Beignets And Coffee,3
Suggest a place with varied seating options.,Crabby Jack's,2
Suggest a place with varied seating options.,Surrey's Café & Juice Bar,2
Suggest a place with varied seating options.,Le Bayou Restaurant,2
Suggest a place with varied seating options.,Emeril's ,2
Suggest a place with varied seating options.,Cafe Negril,2
Suggest a place with varied seating options.,Pizza Delicious,2
Suggest a place with varied seating options.,The Blind Pelican,2
Suggest a place with varied seating options.,Cafe Maspero,1
Suggest a place with varied seating options.,Dooky Chase's Restaurant,1
Suggest a place with varied seating options.,Tsunami Sushi,3
Suggest a place with varied seating options.,Voodoo BBQ & Grill,2
Suggest a place with varied seating options.,The Trolley Stop Cafe,1
Suggest a place with varied seating options.,Deja Vu Restaurant & Bar,1
Suggest a place with varied seating options.,Fogo de Chão Brazilian Steakhouse,1
Suggest a place with varied seating options.,Cleo's,1
Suggest a place with varied seating options.,Revelator Coffee New Orleans,2
Suggest a place with varied seating options.,NOLA Restaurant,2
Suggest a place with varied seating options.,Toups Meatery,1
Suggest a place with varied seating options.,Coulis,2
Suggest a place with varied seating options.,Maypop Restaurant,1
Suggest a place with varied seating options.,Blaze Pizza,2
Suggest a place with varied seating options.,The Old Coffee Pot Restaurant,2
Suggest a place with varied seating options.,Stanley,1
Suggest a place with varied seating options.,Grand Isle,2
Suggest a place with varied seating options.,The Governor,2
Suggest a place with varied seating options.,Sneaky Pickle,2
Suggest a place with varied seating options.,Jimmy J's Cafe,1
Suggest a place with varied seating options.,Cafe Beignet on Decatur Street,2
Suggest a place with varied seating options.,Doris Metropolitan,2
Suggest a place with varied seating options.,Chiba,2
Suggest a place with varied seating options.,Welty's Deli and Catering,1
Suggest a place with varied seating options.,GW Fins,2
Suggest a place with varied seating options.,The Rum House,2
Suggest a place with varied seating options.,Desi Vega's Steakhouse,2
Suggest a place with varied seating options.,Antoine's Restaurant,2
Suggest a place with varied seating options.,Meril,2
Suggest a place with varied seating options.,Estrella Steak & Lobster,1
Suggest a place with varied seating options.,Boswell's Jamaican Grill,2
Suggest a place with varied seating options.,Li'l Dizzy's Cafe,1
Suggest a place with varied seating options.,Envie Espresso Bar & Cafe,2
Suggest a place with varied seating options.,Arabella Casa Di Pasta,2
Suggest a place with varied seating options.,Red's Chinese,2
Suggest a place with varied seating options.,Ba Chi Canteen,2
Suggest a place with varied seating options.,Casamento's Restaurant,0
Suggest a place with varied seating options.,Sushi Brothers,2
Suggest a place with varied seating options.,Little Korea BBQ,1
Suggest a place with varied seating options.,Joey K's Restaurant & Bar,1
Suggest a place with varied seating options.,Please-U-Restaurant,2
Suggest a place with varied seating options.,The Steakhouse,2
Suggest a place with varied seating options.,Luke,1
Suggest a place with varied seating options.,Pascal's Manale,1
Suggest a place with varied seating options.,P & G Restaurant & Bar,1
Suggest a place with varied seating options.,Mint Modern Vietnamese Bistro & Bar,1
Suggest a place with varied seating options.,Mona Lisa Restaurant,0
Suggest a place with varied seating options.,Pho Bistreaux,2
Suggest a place with varied seating options.,Liuzza's By The Track,2
Suggest a place with varied seating options.,Hard Rock Cafe,1
Suggest a place with varied seating options.,Two Chicks Cafe,1
Suggest a place with varied seating options.,Gumbo Shop,2
Suggest a place with varied seating options.,Mandina's Restaurant,1
Suggest a place with varied seating options.,Desire Oyster Bar,2
Suggest a place with varied seating options.,Royal House,2
Suggest a place with varied seating options.,Bon Ton Cafe,1
Suggest a place with varied seating options.,The Original Pierre Maspero's,2
Suggest a place with varied seating options.,Ninja Restaurant,2
Suggest a place with varied seating options.,Stein's Market and Deli,2
Suggest a place with varied seating options.,Cafe Fleur De Lis,1
Suggest a place with varied seating options.,The Daily Beet,3
Suggest a place with varied seating options.,Tacos And Beer,2
Suggest a place with varied seating options.,Bourbon House,2
Suggest a place with varied seating options.,Trenasse,1
Suggest a place with varied seating options.,9 Roses Cafe,3
Suggest a place with varied seating options.,Gordon Biersch Brewery Restaurant,2
Suggest a place with varied seating options.,The Original French Market Restaurant and Bar,2
Suggest a place with varied seating options.,Morrow's,1
Suggest a place with varied seating options.,Diamond Street Bar & Grill,1
Suggest a place with varied seating options.,Saints And Sinners,2
Suggest a place with varied seating options.,Parkway Bakery & Tavern,2
Suggest a place with varied seating options.,Pere Antoine Restaurant,2
Suggest a place with varied seating options.,Faubourg Bistro,1
Suggest a place with varied seating options.,Origami,2
Suggest a place with varied seating options.,The Company Burger,2
Suggest a place with varied seating options.,The Munch Factory,2
Suggest a place with varied seating options.,La Boca,1
Suggest a place with varied seating options.,Croissant D'Or Patisserie,3
Suggest a place with varied seating options.,Mena's Palace,2
Suggest a place with varied seating options.,Frankie & Johnny's,2
Suggest a place with varied seating options.,Araña Taqueria y Cantina,2
Suggest a place with varied seating options.,Copeland's Cheesecake Bistro,2
Suggest a place with varied seating options.,Red Gravy,1
Suggest a place with varied seating options.,Neyow's Creole Cafe,2
Suggest a place with varied seating options.,Taqueria Corona,1
Suggest a place with varied seating options.,Mahony's Po-Boys & Seafood  - Uptown,2
Suggest a place with varied seating options.,Verti Marte,1
Suggest a place with varied seating options.,Five Happiness Chinese Restaurant,3
Suggest a place with varied seating options.,Avery's On Tulane,2
Suggest a place with varied seating options.,Lilly's Cafe,1
Suggest a place with varied seating options.,Fat Boy Pantry,2
Suggest a place with varied seating options.,Asuka Sushi & Hibachi,2
Suggest a place with varied seating options.,Domilise Po-Boys & Bar,2
Suggest a place with varied seating options.,The Praline Connection,1
Suggest a place with varied seating options.,Cochon Butcher,2
Suggest a place with varied seating options.,Geisha Sushi Bistro,2
Suggest a place with varied seating options.,Willie's Chicken Shack,1
Suggest a place with varied seating options.,801 Royal,2
Suggest a place with varied seating options.,Clover Grill,1
Suggest a place with varied seating options.,Guy's Po Boys,1
Suggest a place with varied seating options.,Sweet Soulfood,1
Suggest a place with varied seating options.,Streetcar Cafe,2
Suggest a place with varied seating options.,Venezia Restaurant,2
Suggest a place with varied seating options.,Dave & Buster's,1
Suggest a place with varied seating options.,Jagerhaus,1
Suggest a place with varied seating options.,BB King's Blues Club,2
Suggest a place with varied seating options.,Mambo's,3
Suggest a place with varied seating options.,Felipe's Mexican Taqueria - French Quarter,2
Suggest a place with varied seating options.,Shawarma on the Go,2
Suggest a place with varied seating options.,BOIL Seafood House,2
Suggest a place with varied seating options.,Steamboat Natchez,2
Suggest a place with varied seating options.,Coterie Restaurant & Oyster Bar,3
Suggest a place with varied seating options.,Kebab,2
Suggest a place with varied seating options.,Cajun Seafood,1
Suggest a place with varied seating options.,G's Pizza,2
Suggest a place with varied seating options.,The Crazy Lobster Bar & Grill,1
Suggest a place with varied seating options.,Breads on Oak Cafe & Bakery,2
Suggest a place with varied seating options.,Acme Oyster House,1
Suggest a place with varied seating options.,District Donuts Sliders Brew,2
Suggest a place with varied seating options.,Old Absinthe House,2
Suggest a place with varied seating options.,Bayou Burger & Sports Company,2
Suggest a place with varied seating options.,Belle's Diner Nola,1
Suggest a place with varied seating options.,Sassafras Restaurant,1
Suggest a place with varied seating options.,Ruby Slipper - New Orleans,2
Suggest a place with varied seating options.,Fiorella's Cafe,2
Suggest a place with varied seating options.,La Macarena Pupuseria & Latin Cafe,1
Suggest a place with varied seating options.,Pho Tau Bay Restaurant,2
Suggest a place with varied seating options.,Union Kitchen & Union Party Room,2
Suggest a place with varied seating options.,Gumbo POT,2
Suggest a place with varied seating options.,Bubba Gump Shrimp Co.,1
Suggest a place with varied seating options.,Johnny's Po-Boys,2
Suggest a place with varied seating options.,Meals From The Heart Cafe,2
Suggest a place with varied seating options.,Seither's Seafood,2
Suggest a place with varied seating options.,Galliano Restaurant,2
Suggest a place with varied seating options.,Turkey and the Wolf,1
Suggest a place with varied seating options.,Mikimoto,1
Suggest a place with varied seating options.,Seed,2
Suggest a place with varied seating options.,Gallier Restaurant & Oyster Bar,0
Suggest a place with varied seating options.,Acme Oyster House - Harrahs,1
Suggest a place with varied seating options.,Reginelli's Pizzeria,2
Suggest a place with varied seating options.,Mother's Restaurant,2
Suggest a place with varied seating options.,Dian Xin,1
Suggest a place with varied seating options.,Copper Monkey Grill,1
Suggest a place with varied seating options.,Poke Loa,0
Suggest a place with varied seating options.,French Toast,2
Suggest a place with varied seating options.,Daisy Dukes - French Quarter,1
Suggest a place with varied seating options.,Franks Restaurant,2
Suggest a place with varied seating options.,Dreamy Weenies,2
Suggest a place with varied seating options.,Mulate's,1
Suggest a place with varied seating options.,Three Legged Dog,0
Suggest a place with varied seating options.,Bevi Seafood,2
Suggest a place with varied seating options.,Corner Oyster House,1
Suggest a place with varied seating options.,Nacho Mama's Mexican Grill,1
Suggest a place with varied seating options.,Mr. Ed's Oyster Bar - St Charles Ave,2
Suggest a place with varied seating options.,Fharmacy Nola,2
Suggest a place with varied seating options.,Oceana Grill,2
Suggest a place with varied seating options.,Johnny Sanchez,1
Suggest a place with varied seating options.,Remoulade,1
Suggest a place with varied seating options.,Dolce Vita Pizzeria,1
Suggest a place with varied seating options.,Tru Burger,3
Suggest a place with varied seating options.,Clesi's Restaurant & Catering,2
Suggest a place with varied seating options.,Bittersweet Confections,2
Suggest a place with varied seating options.,Two Chicks Café - CBD,2
Suggest a place with varied seating options.,Mahony's Po-Boys & Seafood,1
Suggest a place with varied seating options.,Daisy Dukes Express,1
Suggest a place with varied seating options.,Krystal,1
Suggest a place with varied seating options.,J's Seafood Dock,2
Suggest a place with varied seating options.,New Orleans School of Cooking,2
Suggest a place with varied seating options.,Olde Nola Cookery,2
Suggest a place with varied seating options.,Brothers Food Mart,0
Suggest a place with varied seating options.,Jung's Golden Dragon II,1
Suggest a place with varied seating options.,Monty's on the Square,2
Suggest a place with varied seating options.,Drago's Seafood Restaurant,2
Suggest a place with varied seating options.,Vieux Carre Pizza,1
Suggest a place with varied seating options.,Taqueria Guerrero,0
Suggest a place with varied seating options.,Sucré,3
Suggest a place with varied seating options.,Gene's PO-Boys,0
Suggest a place with varied seating options.,Pier 424 Seafood Market,0
Suggest a place with varied seating options.,Willie Mae's Scotch House,2
Suggest a place with varied seating options.,Gumbo Ya-Ya,2
Suggest a place with varied seating options.,La Boulangerie,3
Suggest a place with varied seating options.,Cuñada,1
Suggest a place with varied seating options.,The Halal Guys,1
Suggest a place with varied seating options.,Dong Phuong,0
Suggest a place with varied seating options.,Crescent City Pizza Works,2
Suggest a place with varied seating options.,We Dat's Chicken and Shrimp,2
Suggest a place with varied seating options.,Mr Ed's Oyster Bar - Bienville,2
Suggest a place with varied seating options.,Creole House Restaurant & Oyster Bar,2
Suggest a place with varied seating options.,Angelo Brocato,3
Suggest a place with varied seating options.,Magazine Pizza,1
Suggest a place with varied seating options.,Piccola Gelateria,3
Suggest a place with varied seating options.,Liberty Cheesesteaks,1
Suggest a place with varied seating options.,Melba's,1
Suggest a place with varied seating options.,NOLA Poboys,2
Suggest a place with varied seating options.,Gus's World Famous Fried Chicken,1
Suggest a place with varied seating options.,Daisy Dukes Cafe,1
Suggest a place with varied seating options.,Paddlewheeler Creole Queen,2
Suggest a place with varied seating options.,Daisy Mae's Southern Fried Chicken & Breakfast,0
Suggest a place with varied seating options.,IHOP,1
Suggest a place with varied seating options.,The Original Italian Pie,1
Suggest a place with varied seating options.,World Famous N'awlins Cafe & Spice Emporium,1
Suggest a place with varied seating options.,Central Grocery & Deli,2
Suggest a place with varied seating options.,Holy Crepes!,2
Suggest a place with varied seating options.,French Quarter Phantoms,0
Where can I find restaurants that support local producers?,Louisiana Bistro,2
Where can I find restaurants that support local producers?,Sneaky Pickle,3
Where can I find restaurants that support local producers?,Mona's Cafe,1
Where can I find restaurants that support local producers?,Green Goddess,2
Where can I find restaurants that support local producers?,Bennachin Restaurant,1
Where can I find restaurants that support local producers?,New Orleans School of Cooking,2
Where can I find restaurants that support local producers?,Seed,2
Where can I find restaurants that support local producers?,Bayona,2
Where can I find restaurants that support local producers?,Brigtsen's Restaurant,3
Where can I find restaurants that support local producers?,La Macarena Pupuseria & Latin Cafe,1
Where can I find restaurants that support local producers?,Root,2
Where can I find restaurants that support local producers?,Cafe Abyssinia,1
