Query,Restaurant,Relevance Score
Where can I go for a quiet dinner that feels like an escape?,Tashan,2
Where can I go for a quiet dinner that feels like an escape?,Osteria,1
Where can I go for a quiet dinner that feels like an escape?,Barbuzzo,1
Where can I go for a quiet dinner that feels like an escape?,Spice Finch,3
Where can I go for a quiet dinner that feels like an escape?,The Twisted Tail,2
Where can I go for a quiet dinner that feels like an escape?,City Tap House,1
Where can I go for a quiet dinner that feels like an escape?,Valanni,1
Where can I go for a quiet dinner that feels like an escape?,Stateside,2
Where can I go for a quiet dinner that feels like an escape?,Vernick Food & Drink,2
Where can I go for a quiet dinner that feels like an escape?,Tinto,2
Where can I go for a quiet dinner that feels like an escape?,Ocean Prime,2
Where can I go for a quiet dinner that feels like an escape?,Kanella,2
Where can I go for a quiet dinner that feels like an escape?,Heritage,3
Where can I go for a quiet dinner that feels like an escape?,Dmitri's,2
Where can I go for a quiet dinner that feels like an escape?,Cantina Los Caballitos,1
Where can I go for a quiet dinner that feels like an escape?,Matyson,2
Where can I go for a quiet dinner that feels like an escape?,Buddakan,1
Where can I go for a quiet dinner that feels like an escape?,Louie Louie,2
Where can I go for a quiet dinner that feels like an escape?,Barcelona Wine Bar Passyunk,2
Where can I go for a quiet dinner that feels like an escape?,Russet,3
Where can I go for a quiet dinner that feels like an escape?,Bank & Bourbon,2
Where can I go for a quiet dinner that feels like an escape?,Rittenhouse Grill,3
Where can I go for a quiet dinner that feels like an escape?,Rouge,3
Where can I go for a quiet dinner that feels like an escape?,Porcini,2
Where can I go for a quiet dinner that feels like an escape?,Farmicia,2
Where can I go for a quiet dinner that feels like an escape?,Harvest Seasonal Grill & Wine Bar - Philadelphia,2
Where can I go for a quiet dinner that feels like an escape?,The Industry,1
Where can I go for a quiet dinner that feels like an escape?,La Fourno Ristorante Trattoria,1
Where can I go for a quiet dinner that feels like an escape?,Ela,2
Where can I go for a quiet dinner that feels like an escape?,Walnut Street Cafe,1
Where can I go for a quiet dinner that feels like an escape?,Pennsylvania 6,2
Where can I go for a quiet dinner that feels like an escape?,Charlie Was a Sinner,1
Where can I go for a quiet dinner that feels like an escape?,Branzino Italian Ristorante,3
Where can I go for a quiet dinner that feels like an escape?,Tequilas Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Prohibition Taproom,2
Where can I go for a quiet dinner that feels like an escape?,Devil's Alley Bar & Grille,1
Where can I go for a quiet dinner that feels like an escape?,Marigold Kitchen,2
Where can I go for a quiet dinner that feels like an escape?,LaScala's Birra,1
Where can I go for a quiet dinner that feels like an escape?,White Dog Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Bar Ferdinand,2
Where can I go for a quiet dinner that feels like an escape?,Fork,3
Where can I go for a quiet dinner that feels like an escape?,The Adobe Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Bibou,3
Where can I go for a quiet dinner that feels like an escape?,North Third,3
Where can I go for a quiet dinner that feels like an escape?,Paris Bistro and Jazz Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Race Street Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Suraya,3
Where can I go for a quiet dinner that feels like an escape?,Modo Mio,2
Where can I go for a quiet dinner that feels like an escape?,Tierra Colombiana Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,Amada,2
Where can I go for a quiet dinner that feels like an escape?,Alla Spina,1
Where can I go for a quiet dinner that feels like an escape?,Ristorante Pesto,3
Where can I go for a quiet dinner that feels like an escape?,Bar Hygge,3
Where can I go for a quiet dinner that feels like an escape?,Bellini,1
Where can I go for a quiet dinner that feels like an escape?,Garces Trading Company,2
Where can I go for a quiet dinner that feels like an escape?,Giorgio On Pine,1
Where can I go for a quiet dinner that feels like an escape?,Talula's Daily,2
Where can I go for a quiet dinner that feels like an escape?,Entree BYOB,2
Where can I go for a quiet dinner that feels like an escape?,Pinefish,2
Where can I go for a quiet dinner that feels like an escape?,Pizzeria Vetri,1
Where can I go for a quiet dinner that feels like an escape?,Strangelove's,2
Where can I go for a quiet dinner that feels like an escape?,National Mechanics,2
Where can I go for a quiet dinner that feels like an escape?,Chifa,2
Where can I go for a quiet dinner that feels like an escape?,Bud & Marilyn's,2
Where can I go for a quiet dinner that feels like an escape?,Rex at the Royal,2
Where can I go for a quiet dinner that feels like an escape?,Mixto,1
Where can I go for a quiet dinner that feels like an escape?,Fogo de Chao,1
Where can I go for a quiet dinner that feels like an escape?,Urban Farmer Philadelphia,2
Where can I go for a quiet dinner that feels like an escape?,Little Nonna's,3
Where can I go for a quiet dinner that feels like an escape?,Wedge + Fig,3
Where can I go for a quiet dinner that feels like an escape?,Le Virtu,3
Where can I go for a quiet dinner that feels like an escape?,Bourbon Blue,2
Where can I go for a quiet dinner that feels like an escape?,The Little Lion,2
Where can I go for a quiet dinner that feels like an escape?,Veda - Modern Indian Bistro,2
Where can I go for a quiet dinner that feels like an escape?,Vietnam Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Jerry's Bar,1
Where can I go for a quiet dinner that feels like an escape?,IndeBlue Modern Indian Food & Spirits,2
Where can I go for a quiet dinner that feels like an escape?,Mission Taqueria,1
Where can I go for a quiet dinner that feels like an escape?,Three Monkeys Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Pod,3
Where can I go for a quiet dinner that feels like an escape?,Perch Pub,1
Where can I go for a quiet dinner that feels like an escape?,Red Owl Tavern,1
Where can I go for a quiet dinner that feels like an escape?,Uzbekistan Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,Figs,3
Where can I go for a quiet dinner that feels like an escape?,Noord,2
Where can I go for a quiet dinner that feels like an escape?,Sampan,2
Where can I go for a quiet dinner that feels like an escape?,MilkBoy,1
Where can I go for a quiet dinner that feels like an escape?,Butcher Bar,1
Where can I go for a quiet dinner that feels like an escape?,LaScala's,1
Where can I go for a quiet dinner that feels like an escape?,Kensington Quarters,1
Where can I go for a quiet dinner that feels like an escape?,Iron Hill Brewery & Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,The Gaslight,1
Where can I go for a quiet dinner that feels like an escape?,Caribou Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Johnny Brenda's,1
Where can I go for a quiet dinner that feels like an escape?,Cantina Dos Segundos,1
Where can I go for a quiet dinner that feels like an escape?,Ten Stone Bar & Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,The Plough & the Stars,1
Where can I go for a quiet dinner that feels like an escape?,Parc,2
Where can I go for a quiet dinner that feels like an escape?,Marmont Steakhouse & Bar,1
Where can I go for a quiet dinner that feels like an escape?,Yakitori Boy,0
Where can I go for a quiet dinner that feels like an escape?,Las Bugambilias,2
Where can I go for a quiet dinner that feels like an escape?,Effie's Restaurant,3
Where can I go for a quiet dinner that feels like an escape?,Bridget Foy's,1
Where can I go for a quiet dinner that feels like an escape?,Jones,1
Where can I go for a quiet dinner that feels like an escape?,Radicchio Cafe,3
Where can I go for a quiet dinner that feels like an escape?,Royal Tavern,1
Where can I go for a quiet dinner that feels like an escape?,The Happy Rooster,2
Where can I go for a quiet dinner that feels like an escape?,In Riva,3
Where can I go for a quiet dinner that feels like an escape?,Spasso Italian Grill,2
Where can I go for a quiet dinner that feels like an escape?,Copabanana,0
Where can I go for a quiet dinner that feels like an escape?,Dante & Luigi's,2
Where can I go for a quiet dinner that feels like an escape?,Oyster House,2
Where can I go for a quiet dinner that feels like an escape?,Triumph Brewing Company,1
Where can I go for a quiet dinner that feels like an escape?,McCrossen's Tavern,2
Where can I go for a quiet dinner that feels like an escape?,The Goat's Beard,2
Where can I go for a quiet dinner that feels like an escape?,Standard Tap,1
Where can I go for a quiet dinner that feels like an escape?,Morgan's Pier,0
Where can I go for a quiet dinner that feels like an escape?,London Grill,2
Where can I go for a quiet dinner that feels like an escape?,Moshulu,2
Where can I go for a quiet dinner that feels like an escape?,The Capital Grille,2
Where can I go for a quiet dinner that feels like an escape?,The Cambridge,2
Where can I go for a quiet dinner that feels like an escape?,Trolley Car Diner,1
Where can I go for a quiet dinner that feels like an escape?,Fare,2
Where can I go for a quiet dinner that feels like an escape?,L'Angolo Ristorante,3
Where can I go for a quiet dinner that feels like an escape?,Abe Fisher,2
Where can I go for a quiet dinner that feels like an escape?,Aksum Cafe,2
Where can I go for a quiet dinner that feels like an escape?,The Olde Bar,2
Where can I go for a quiet dinner that feels like an escape?,Bottle Bar East,1
Where can I go for a quiet dinner that feels like an escape?,Kite & Key,1
Where can I go for a quiet dinner that feels like an escape?,Pietro's Coal Oven Pizzeria,2
Where can I go for a quiet dinner that feels like an escape?,Sancho Pistola's,1
Where can I go for a quiet dinner that feels like an escape?,Gran Caffe L'Aquila,2
Where can I go for a quiet dinner that feels like an escape?,La Fontana Della Citta,1
Where can I go for a quiet dinner that feels like an escape?,1225Raw Sushi and Sake Lounge,2
Where can I go for a quiet dinner that feels like an escape?,Creperie Beau Monde & L'Etage,2
Where can I go for a quiet dinner that feels like an escape?,Vedge,3
Where can I go for a quiet dinner that feels like an escape?,Chima Steakhouse,1
Where can I go for a quiet dinner that feels like an escape?,Bourbon & Branch,2
Where can I go for a quiet dinner that feels like an escape?,Smile Cafe,3
Where can I go for a quiet dinner that feels like an escape?,Ralphs Italian Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Little Pete's Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,Le Viet Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Fette Sau,1
Where can I go for a quiet dinner that feels like an escape?,Good Dog Bar,1
Where can I go for a quiet dinner that feels like an escape?,Ladder 15,0
Where can I go for a quiet dinner that feels like an escape?,Independence Beer Garden,1
Where can I go for a quiet dinner that feels like an escape?,High Street Philadelphia,2
Where can I go for a quiet dinner that feels like an escape?,JJ Bootleggers,0
Where can I go for a quiet dinner that feels like an escape?,La Calaca Feliz,2
Where can I go for a quiet dinner that feels like an escape?,Tattooed Mom,1
Where can I go for a quiet dinner that feels like an escape?,Morimoto,2
Where can I go for a quiet dinner that feels like an escape?,Revolution House,2
Where can I go for a quiet dinner that feels like an escape?,El Vez,0
Where can I go for a quiet dinner that feels like an escape?,Serafina Philadelphia,1
Where can I go for a quiet dinner that feels like an escape?,Moriarty's Restaurant and Irish Pub,1
Where can I go for a quiet dinner that feels like an escape?,Dim Sum House,1
Where can I go for a quiet dinner that feels like an escape?,City Tavern Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Booker's Restaurant and Bar,2
Where can I go for a quiet dinner that feels like an escape?,Chart House,2
Where can I go for a quiet dinner that feels like an escape?,Distrito,2
Where can I go for a quiet dinner that feels like an escape?,South Philadelphia Tap Room,1
Where can I go for a quiet dinner that feels like an escape?,Misconduct Tavern,0
Where can I go for a quiet dinner that feels like an escape?,The Sidecar Bar & Grille,2
Where can I go for a quiet dinner that feels like an escape?,Xochitl,2
Where can I go for a quiet dinner that feels like an escape?,American Sardine Bar,1
Where can I go for a quiet dinner that feels like an escape?,Murph's Bar,2
Where can I go for a quiet dinner that feels like an escape?,Villa Di Roma,2
Where can I go for a quiet dinner that feels like an escape?,Varga Bar,1
Where can I go for a quiet dinner that feels like an escape?,Landmark Americana Tap & Grill - University City,1
Where can I go for a quiet dinner that feels like an escape?,Deke's Bar-B-Que,1
Where can I go for a quiet dinner that feels like an escape?,El Camino Real,1
Where can I go for a quiet dinner that feels like an escape?,Bar-Ly Chinatown,1
Where can I go for a quiet dinner that feels like an escape?,McCormick & Schmick's Seafood & Steaks,1
Where can I go for a quiet dinner that feels like an escape?,Kraftwork,2
Where can I go for a quiet dinner that feels like an escape?,The Black Sheep Pub & Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Marathon On the Square,1
Where can I go for a quiet dinner that feels like an escape?,Hungry Pigeon,2
Where can I go for a quiet dinner that feels like an escape?,The Fat Ham,1
Where can I go for a quiet dinner that feels like an escape?,Nodding Head Brewery & Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,Drinker's Pub,0
Where can I go for a quiet dinner that feels like an escape?,Local 44,1
Where can I go for a quiet dinner that feels like an escape?,Pizzeria Stella,1
Where can I go for a quiet dinner that feels like an escape?,Trolley Car Cafe,1
Where can I go for a quiet dinner that feels like an escape?,Bok Bar,3
Where can I go for a quiet dinner that feels like an escape?,Destination Dogs,0
Where can I go for a quiet dinner that feels like an escape?,Gnocchi,2
Where can I go for a quiet dinner that feels like an escape?,Sitar India,1
Where can I go for a quiet dinner that feels like an escape?,Cuba Libre Restaurant & Rum Bar - Philadelphia,2
Where can I go for a quiet dinner that feels like an escape?,Rosy's Taco Bar,1
Where can I go for a quiet dinner that feels like an escape?,Smokin Bettys,1
Where can I go for a quiet dinner that feels like an escape?,Jasmine Rice - Rittenhouse,2
Where can I go for a quiet dinner that feels like an escape?,Jack's Firehouse,2
Where can I go for a quiet dinner that feels like an escape?,Zahav,1
Where can I go for a quiet dinner that feels like an escape?,El Rey,1
Where can I go for a quiet dinner that feels like an escape?,Tamarind,2
Where can I go for a quiet dinner that feels like an escape?,Doma,2
Where can I go for a quiet dinner that feels like an escape?,Royal Sushi & Izakaya,2
Where can I go for a quiet dinner that feels like an escape?,Nomad Roman Pizza,2
Where can I go for a quiet dinner that feels like an escape?,Chapterhouse Café & Gallery,2
Where can I go for a quiet dinner that feels like an escape?,Sabrina's Café,1
Where can I go for a quiet dinner that feels like an escape?,Catahoula,2
Where can I go for a quiet dinner that feels like an escape?,World Cafe Live,1
Where can I go for a quiet dinner that feels like an escape?,Devil's Den,2
Where can I go for a quiet dinner that feels like an escape?,Oscar's Tavern,0
Where can I go for a quiet dinner that feels like an escape?,Karma Restaurant & Bar,2
Where can I go for a quiet dinner that feels like an escape?,Con Murphy's,1
Where can I go for a quiet dinner that feels like an escape?,The Abbaye,2
Where can I go for a quiet dinner that feels like an escape?,The Spicy Belly,0
Where can I go for a quiet dinner that feels like an escape?,Manayunk Brewery,1
Where can I go for a quiet dinner that feels like an escape?,Anastasi Seafood,1
Where can I go for a quiet dinner that feels like an escape?,Gyu-Kaku Japanese BBQ,1
Where can I go for a quiet dinner that feels like an escape?,Vientiane Café,2
Where can I go for a quiet dinner that feels like an escape?,New Deck Tavern,1
Where can I go for a quiet dinner that feels like an escape?,The Gold Standard Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Hickory Lane American Bistro,2
Where can I go for a quiet dinner that feels like an escape?,Francoluigi's Pizzeria & Italian Restaurant,3
Where can I go for a quiet dinner that feels like an escape?,The Blue Duck,2
Where can I go for a quiet dinner that feels like an escape?,Front Street Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Monsú,2
Where can I go for a quiet dinner that feels like an escape?,Apricot Stone,2
Where can I go for a quiet dinner that feels like an escape?,Percy Street Barbecue,1
Where can I go for a quiet dinner that feels like an escape?,Dock Street Brewery,1
Where can I go for a quiet dinner that feels like an escape?,Sweet Lucy's Smokehouse,1
Where can I go for a quiet dinner that feels like an escape?,Stogie Joe's Tavern,1
Where can I go for a quiet dinner that feels like an escape?,Mad Rex,2
Where can I go for a quiet dinner that feels like an escape?,Bing Bing Dim Sum,1
Where can I go for a quiet dinner that feels like an escape?,House of Thai Cuisine,3
Where can I go for a quiet dinner that feels like an escape?,JJ Thai Cuisine,2
Where can I go for a quiet dinner that feels like an escape?,Devon Seafood Grill,2
Where can I go for a quiet dinner that feels like an escape?,Spice 28,1
Where can I go for a quiet dinner that feels like an escape?,Bainbridge Street Barrel House,1
Where can I go for a quiet dinner that feels like an escape?,Hawthornes Biercafé,2
Where can I go for a quiet dinner that feels like an escape?,Marathon,1
Where can I go for a quiet dinner that feels like an escape?,Barra Rossa Ristorante,2
Where can I go for a quiet dinner that feels like an escape?,Khyber Pass Pub,1
Where can I go for a quiet dinner that feels like an escape?,Jose Pistola's,1
Where can I go for a quiet dinner that feels like an escape?,Hardena_Waroeng Surabaya Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,The Belgian Café,1
Where can I go for a quiet dinner that feels like an escape?,Hinge Cafe,1
Where can I go for a quiet dinner that feels like an escape?,SOMO Manayunk,2
Where can I go for a quiet dinner that feels like an escape?,Monk's Cafe,1
Where can I go for a quiet dinner that feels like an escape?,Soup Kitchen Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Darling's Diner,1
Where can I go for a quiet dinner that feels like an escape?,Frankford Hall,0
Where can I go for a quiet dinner that feels like an escape?,Taqueria Feliz,1
Where can I go for a quiet dinner that feels like an escape?,K-POT Korean BBQ & Hot Pot,0
Where can I go for a quiet dinner that feels like an escape?,El Poquito,1
Where can I go for a quiet dinner that feels like an escape?,V Street,2
Where can I go for a quiet dinner that feels like an escape?,Pattaya,3
Where can I go for a quiet dinner that feels like an escape?,Baby Blues BBQ Philly,1
Where can I go for a quiet dinner that feels like an escape?,Ms Tootsie's RBL,1
Where can I go for a quiet dinner that feels like an escape?,Han Dynasty,1
Where can I go for a quiet dinner that feels like an escape?,Banh Mi and Bottles,1
Where can I go for a quiet dinner that feels like an escape?,Tavern on Broad,0
Where can I go for a quiet dinner that feels like an escape?,Penrose Diner,1
Where can I go for a quiet dinner that feels like an escape?,Philadelphia Marriott Downtown,1
Where can I go for a quiet dinner that feels like an escape?,Dan Dan,1
Where can I go for a quiet dinner that feels like an escape?,Nomad Pizza Company,1
Where can I go for a quiet dinner that feels like an escape?,Kalaya,1
Where can I go for a quiet dinner that feels like an escape?,McGillin's Olde Ale House,0
Where can I go for a quiet dinner that feels like an escape?,Memphis Taproom,2
Where can I go for a quiet dinner that feels like an escape?,Eulogy Belgian Tavern,1
Where can I go for a quiet dinner that feels like an escape?,Ramen Bar,1
Where can I go for a quiet dinner that feels like an escape?,Cafe La Maude,2
Where can I go for a quiet dinner that feels like an escape?,The Rooster,1
Where can I go for a quiet dinner that feels like an escape?,Resurrection Ale House,2
Where can I go for a quiet dinner that feels like an escape?,Miles Table,1
Where can I go for a quiet dinner that feels like an escape?,Loews Philadelphia Hotel,2
Where can I go for a quiet dinner that feels like an escape?,Urban Saloon,0
Where can I go for a quiet dinner that feels like an escape?,Erawan Thai Cuisine,1
Where can I go for a quiet dinner that feels like an escape?,Abyssinia,2
Where can I go for a quiet dinner that feels like an escape?,Cafe Ynez,2
Where can I go for a quiet dinner that feels like an escape?,Mad Mex - University City,0
Where can I go for a quiet dinner that feels like an escape?,Cafe Lift,1
Where can I go for a quiet dinner that feels like an escape?,New Harmony Vegetarian Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Joe's Steaks + Soda Shop,1
Where can I go for a quiet dinner that feels like an escape?,The Foodery at Rittenhouse,1
Where can I go for a quiet dinner that feels like an escape?,New Delhi Indian Restaurant,1
Where can I go for a quiet dinner that feels like an escape?,Vietnam Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Southgate,2
Where can I go for a quiet dinner that feels like an escape?,Zama,1
Where can I go for a quiet dinner that feels like an escape?,Bufad,2
Where can I go for a quiet dinner that feels like an escape?,Zorba's Taverna,3
Where can I go for a quiet dinner that feels like an escape?,Circles Contemporary Thai,2
Where can I go for a quiet dinner that feels like an escape?,Bar Bombón,2
Where can I go for a quiet dinner that feels like an escape?,Lucky Strike - Philadelphia,1
Where can I go for a quiet dinner that feels like an escape?,Las Margaritas,1
Where can I go for a quiet dinner that feels like an escape?,Earth Bread + Brewery,1
Where can I go for a quiet dinner that feels like an escape?,Melrose Diner,1
Where can I go for a quiet dinner that feels like an escape?,2nd Story Brewing,1
Where can I go for a quiet dinner that feels like an escape?,Loco Pez,0
Where can I go for a quiet dinner that feels like an escape?,Maggiano's Little Italy,1
Where can I go for a quiet dinner that feels like an escape?,Las Cazuelas Restaurant BYOB,1
Where can I go for a quiet dinner that feels like an escape?,Fergie's Pub,1
Where can I go for a quiet dinner that feels like an escape?,Sazon Restaurant & Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Vango Lounge & Skybar,0
Where can I go for a quiet dinner that feels like an escape?,Zento Contemporary Japanese Cuisine,2
Where can I go for a quiet dinner that feels like an escape?,Village Whiskey,1
Where can I go for a quiet dinner that feels like an escape?,Honey's Sit-N-Eat,0
Where can I go for a quiet dinner that feels like an escape?,Rangoon Burmese Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Fadó Irish Pub,1
Where can I go for a quiet dinner that feels like an escape?,Indian Kitchen Lovash,2
Where can I go for a quiet dinner that feels like an escape?,Isot Mediterranean Cuisine,3
Where can I go for a quiet dinner that feels like an escape?,Mac's Tavern,1
Where can I go for a quiet dinner that feels like an escape?,Blue Corn,2
Where can I go for a quiet dinner that feels like an escape?,Chhaya Cafe,2
Where can I go for a quiet dinner that feels like an escape?,Cedar Point Bar and Kitchen,1
Where can I go for a quiet dinner that feels like an escape?,Nam Phuong,1
Where can I go for a quiet dinner that feels like an escape?,Indian Restaurant,2
Where can I go for a quiet dinner that feels like an escape?,Relish,2
Where can I go for a quiet dinner that feels like an escape?,Ratchada Thai & Laos Cuisine,3
Where can I go for a quiet dinner that feels like an escape?,Max Brenner - Philadelphia,0
Where can I go for a quiet dinner that feels like an escape?,Cheu Noodle Bar,1
Where can I go for a quiet dinner that feels like an escape?,Marra's,2
Where can I go for a quiet dinner that feels like an escape?,North Bowl,0
Where can I go for a quiet dinner that feels like an escape?,Alyan's Restaurant,3
Where can I go for a quiet dinner that feels like an escape?,Soy Cafe,3
Where can I go for a quiet dinner that feels like an escape?,Bonchon Philadelphia,0
Where can I go for a quiet dinner that feels like an escape?,48th Street Grille,2
Where can I go for a quiet dinner that feels like an escape?,Little Sicily 2,1
Where can I go for a quiet dinner that feels like an escape?,Evil Genius Beer,0
Where can I go for a quiet dinner that feels like an escape?,PYT,1
Where can I go for a quiet dinner that feels like an escape?,Banana Leaf,1
Where can I go for a quiet dinner that feels like an escape?,The QUICK FIXX,1
Where can I go for a quiet dinner that feels like an escape?,Green Eggs Café,0
Where can I go for a quiet dinner that feels like an escape?,Legal Sea Foods,1
Where can I go for a quiet dinner that feels like an escape?,Yanako,3
Where can I go for a quiet dinner that feels like an escape?,Xiandu Thai,2
Where can I go for a quiet dinner that feels like an escape?,Cactus Restaurant & Bar,1
Where can I go for a quiet dinner that feels like an escape?,Fuji Mountain,2
Where can I go for a quiet dinner that feels like an escape?,Cafe Olé,2
Where can I go for a quiet dinner that feels like an escape?,Café y Chocolate,2
Where can I go for a quiet dinner that feels like an escape?,Khmer Kitchen,1
Where can I go for a quiet dinner that feels like an escape?,BRÜ Craft & Wurst,0
Where can I go for a quiet dinner that feels like an escape?,Honey's Sit N Eat,0
Where can I go for a quiet dinner that feels like an escape?,Dim Sum Garden,1
Where can I go for a quiet dinner that feels like an escape?,Di Bruno Bros.,1
Where can I go for a quiet dinner that feels like an escape?,Down Home Diner,1
Where can I go for a quiet dinner that feels like an escape?,David's Mai Lai Wah,0
Where can I go for a quiet dinner that feels like an escape?,Day By Day,2
Where can I go for a quiet dinner that feels like an escape?,One Shot Coffee,2
Where can I go for a quiet dinner that feels like an escape?,Sate Kampar,2
Where can I go for a quiet dinner that feels like an escape?,Wrap Shack,1
Where can I go for a quiet dinner that feels like an escape?,Bubblefish,2
Where can I go for a quiet dinner that feels like an escape?,Le Pain Quotidien,2
Where can I go for a quiet dinner that feels like an escape?,Umai Umai,3
Where can I go for a quiet dinner that feels like an escape?,Sahara Grill,1
Where can I go for a quiet dinner that feels like an escape?,So Crepe,2
Where can I go for a quiet dinner that feels like an escape?,Warmdaddy's,2
Where can I go for a quiet dinner that feels like an escape?,Fox and Hound,0
Where can I go for a quiet dinner that feels like an escape?,Sam's Morning Glory Diner,0
Where can I go for a quiet dinner that feels like an escape?,Barcade,0
Where can I go for a quiet dinner that feels like an escape?,Brauhaus Schmitz,1
Where can I go for a quiet dinner that feels like an escape?,Café Soho,0
Where can I go for a quiet dinner that feels like an escape?,Stock,2
