Query,City,Relevance Score
Cities known for their cave attractions,Indore,1
Cities known for their cave attractions,Heraklion,0
Cities known for their cave attractions,Antalya,3
Cities known for their cave attractions,Dakar,0
Cities known for their cave attractions,Kaohsiung,0
Cities known for their cave attractions,Florence,0
Cities known for their cave attractions,Troms酶,0
Cities known for their cave attractions,Debrecen,0
Cities known for their cave attractions,Yerevan,1
Cities known for their cave attractions,Malta,3
Cities known for their cave attractions,Santiago,0
Cities known for their cave attractions,Shanghai,0
Cities known for their cave attractions,Fukuoka,0
Cities known for their cave attractions,Montevideo,0
Cities known for their cave attractions,Alicante,3
Cities known for their cave attractions,Chennai,0
Cities known for their cave attractions,San Francisco,0
Cities known for their cave attractions,Tirana,1
Cities known for their cave attractions,Trondheim,0
Cities known for their cave attractions,Varanasi,0
Cities known for their cave attractions,Barcelona,0
Cities known for their cave attractions,Luzon,3
Cities known for their cave attractions,Villahermosa,0
Cities known for their cave attractions,San Luis Potosi,0
Cities known for their cave attractions,Zurich,0
Cities known for their cave attractions,Udaipur,0
Cities known for their cave attractions,Dresden,0
Cities known for their cave attractions,Los Angeles,0
Cities known for their cave attractions,San Pedro Sula,1
Cities known for their cave attractions,Sofia,0
Cities known for their cave attractions,Trieste,3
Cities known for their cave attractions,Phoenix,1
Cities known for their cave attractions,Beirut,2
Cities known for their cave attractions,Cairo,1
Cities known for their cave attractions,Kathmandu,2
Cities known for their cave attractions,Bucharest,0
Cities known for their cave attractions,Podgorica,0
Cities known for their cave attractions,Buenos Aires,0
Cities known for their cave attractions,Port Elizabeth,0
Cities known for their cave attractions,Yaounde虂,0
Cities known for their cave attractions,Skopje,3
Cities known for their cave attractions,Kobe,0
Cities known for their cave attractions,Shenzhen,0
Cities known for their cave attractions,Thessaloniki,0
Cities known for their cave attractions,Antananarivo,0
Cities known for their cave attractions,Arusha,0
Cities known for their cave attractions,Split,0
Cities known for their cave attractions,Colombo,0
Cities known for their cave attractions,Porto Alegre,0
Cities known for their cave attractions,Addis Ababa,0
Cities known for their cave attractions,George Town (Malaysia),0
Cities known for their cave attractions,Jackson (Wyoming),0
Cities known for their cave attractions,Jaipur,0
Cities known for their cave attractions,Matsuyama,0
Cities known for their cave attractions,Tampico,0
Cities known for their cave attractions,Bergen,2
Cities known for their cave attractions,Mendoza,0
Cities known for their cave attractions,Niamey,0
Cities known for their cave attractions,"Santa Cruz (city, Bolivia)",0
Cities known for their cave attractions,Ranchi,0
Cities known for their cave attractions,Busan,1
Cities known for their cave attractions,Taupo虅,2
Cities known for their cave attractions,Zhengzhou,0
Cities known for their cave attractions,Varna,2
Cities known for their cave attractions,Ias苔i,2
Cities known for their cave attractions,Nice,0
Cities known for their cave attractions,Khajuraho,0
Cities known for their cave attractions,Turin,0
Cities known for their cave attractions,Muscat,0
Cities known for their cave attractions,Seville,0
Cities known for their cave attractions,Manizales,1
Cities known for their cave attractions,Urumqi,0
Cities known for their cave attractions,Tehran,0
Cities known for their cave attractions,Pretoria,1
Cities known for their cave attractions,Santa Barbara,0
Cities known for their cave attractions,Bhubaneswar,2
Cities known for their cave attractions,Queenstown (New Zealand),1
Cities known for their cave attractions,Lugano,0
Cities known for their cave attractions,Veracruz,0
Cities known for their cave attractions,Baku,0
Cities known for their cave attractions,Dalian,1
Cities known for their cave attractions,Poznan虂,0
Cities known for their cave attractions,Durban,0
Cities known for their cave attractions,Copenhagen,0
Cities known for their cave attractions,Wellington,0
Cities known for their cave attractions,Geneva,0
Cities known for their cave attractions,Surat,0
Cities known for their cave attractions,Abuja,2
Cities known for their cave attractions,Hiroshima,0
Cities known for their cave attractions,Chicago,0
Cities known for their cave attractions,Grand Junction,1
Cities known for their cave attractions,Bujumbura,0
Cities known for their cave attractions,Lilongwe,0
Cities known for their cave attractions,Gothenburg,0
Cities known for their cave attractions,Rhodes (city),3
Cities known for their cave attractions,Panama City,0
Cities known for their cave attractions,Bologna,0
Cities known for their cave attractions,Guam,1
Cities known for their cave attractions,Bissau,0
Cities known for their cave attractions,Orlando,0
Cities known for their cave attractions,Haikou,2
Cities known for their cave attractions,Joa虄o Pessoa,0
Cities known for their cave attractions,Rijeka,2
Cities known for their cave attractions,San Luis Obispo,1
Cities known for their cave attractions,Coimbatore,0
Cities known for their cave attractions,Fiji,3
Cities known for their cave attractions,Apia,0
Cities known for their cave attractions,Tianjin,0
Cities known for their cave attractions,Stavanger,0
Cities known for their cave attractions,Chongqing,1
Cities known for their cave attractions,Kinshasa,0
Cities known for their cave attractions,Belize City,2
Cities known for their cave attractions,Aqaba,0
Cities known for their cave attractions,Luxembourg (city),2
Cities known for their cave attractions,Wuxi,0
Cities known for their cave attractions,Saint Lucia,0
Cities known for their cave attractions,Zanzibar,0
Cities known for their cave attractions,Funchal,0
Cities known for their cave attractions,Larnaca,0
Cities known for their cave attractions,Palma de Mallorca,0
Cities known for their cave attractions,Adelaide,0
Cities known for their cave attractions,Madurai,0
Cities known for their cave attractions,Amritsar,2
Cities known for their cave attractions,Krako虂w,2
Cities known for their cave attractions,Guiyang,3
Cities known for their cave attractions,Changchun,0
Cities known for their cave attractions,Guwahati,2
Cities known for their cave attractions,Bhopal,3
Cities known for their cave attractions,Ouagadougou,0
Cities known for their cave attractions,Lahore,0
Cities known for their cave attractions,Nanning,3
Cities known for their cave attractions,Nelson (New Zealand),0
Cities known for their cave attractions,Tel Aviv,0
Cities known for their cave attractions,Astana,0
Cities known for their cave attractions,Bishkek,0
Cities known for their cave attractions,Vilnius,0
Cities known for their cave attractions,Canberra,0
Cities known for their cave attractions,Cebu City,0
Cities known for their cave attractions,Batumi,0
Cities known for their cave attractions,Curitiba,0
Cities known for their cave attractions,Marseille,1
Cities known for their cave attractions,Abu Dhabi,0
Cities known for their cave attractions,Palm Springs,0
Cities known for their cave attractions,Brussels,0
Cities known for their cave attractions,Nagoya,0
Cities known for their cave attractions,Stuttgart,1
Cities known for their cave attractions,Saint Thomas,0
Cities known for their cave attractions,Nuremberg,2
Cities known for their cave attractions,Hohhot,0
Cities known for their cave attractions,Cuiaba虂,0
Cities known for their cave attractions,Charlotte,0
Cities known for their cave attractions,Praia,0
Cities known for their cave attractions,Georgetown (Guyana),0
Cities known for their cave attractions,Changsha,0
Cities known for their cave attractions,Kerikeri,0
Cities known for their cave attractions,Vaasa,0
Cities known for their cave attractions,Takamatsu,0
Cities known for their cave attractions,Tunis,0
Cities known for their cave attractions,Chattanooga,3
Cities known for their cave attractions,Acapulco,0
Cities known for their cave attractions,Berlin,0
Cities known for their cave attractions,Brownsville (Texas),0
Cities known for their cave attractions,Lhasa,0
Cities known for their cave attractions,Brazzaville,0
Cities known for their cave attractions,Jodhpur,0
Cities known for their cave attractions,Munich,0
Cities known for their cave attractions,Zadar,0
Cities known for their cave attractions,Karachi,0
Cities known for their cave attractions,Stockholm,0
Cities known for their cave attractions,Pisa,0
Cities known for their cave attractions,Tabriz,2
Cities known for their cave attractions,Frankfurt,0
Cities known for their cave attractions,Louisville,3
Cities known for their cave attractions,Taiyuan,3
Cities known for their cave attractions,Bilbao,0
Cities known for their cave attractions,Gillette,0
Cities known for their cave attractions,Kigali,0
Cities known for their cave attractions,Punta Cana,0
Cities known for their cave attractions,Campo Grande,0
Cities known for their cave attractions,"Washington, D.C.",0
Cities known for their cave attractions,London,1
Cities known for their cave attractions,Chania,0
Cities known for their cave attractions,Alexandria,1
Cities known for their cave attractions,Varadero,3
Cities known for their cave attractions,Barranquilla,0
Cities known for their cave attractions,Shenyang,0
Cities known for their cave attractions,Port Blair,1
Cities known for their cave attractions,Sibiu,0
Cities known for their cave attractions,Shiraz,0
Cities known for their cave attractions,San Antonio,3
Cities known for their cave attractions,Gaborone,0
Cities known for their cave attractions,Salzburg,1
Cities known for their cave attractions,Vienna,0
Cities known for their cave attractions,Dubai,0
Cities known for their cave attractions,Indianapolis,0
Cities known for their cave attractions,Dunhuang,3
Cities known for their cave attractions,Erbil,0
Cities known for their cave attractions,Faro,0
Cities known for their cave attractions,Catania,1
Cities known for their cave attractions,Rajkot,0
Cities known for their cave attractions,Izmir,0
Cities known for their cave attractions,Samsun,0
Cities known for their cave attractions,Puerto Plata,2
Cities known for their cave attractions,Santa Marta,0
Cities known for their cave attractions,Montreal,0
Cities known for their cave attractions,New Orleans,0
Cities known for their cave attractions,Maceio虂,0
Cities known for their cave attractions,Bristol,1
Cities known for their cave attractions,Noume虂a,0
Cities known for their cave attractions,Saint Martin,0
Cities known for their cave attractions,Wroc艂aw,0
Cities known for their cave attractions,Asheville,0
Cities known for their cave attractions,Katowice,0
Cities known for their cave attractions,Helsinki,0
Cities known for their cave attractions,Weihai,0
Cities known for their cave attractions,Kazan,0
Cities known for their cave attractions,Patna,0
Cities known for their cave attractions,Melbourne,0
Cities known for their cave attractions,Abidjan,0
Cities known for their cave attractions,Victoria Falls,0
Cities known for their cave attractions,Chandigarh,0
Cities known for their cave attractions,Hakodate,0
Cities known for their cave attractions,Khabarovsk,0
Cities known for their cave attractions,Hyderabad,0
Cities known for their cave attractions,Kittila虉,0
Cities known for their cave attractions,Bremen,0
Cities known for their cave attractions,Lusaka,0
Cities known for their cave attractions,Dunedin,1
Cities known for their cave attractions,Ponta Delgada,0
Cities known for their cave attractions,Lucknow,0
Cities known for their cave attractions,Riga,0
Cities known for their cave attractions,Lalibela,3
Cities known for their cave attractions,Zihuatanejo,0
Cities known for their cave attractions,Verona,0
Cities known for their cave attractions,Key West,0
Cities known for their cave attractions,Vadodara,0
Cities known for their cave attractions,Malmo虉,0
Cities known for their cave attractions,Guangzhou,0
Cities known for their cave attractions,Oslo,0
Cities known for their cave attractions,Kolkata,0
Cities known for their cave attractions,Palermo,1
Cities known for their cave attractions,Nagpur,0
Cities known for their cave attractions,Agartala,1
Cities known for their cave attractions,Little Rock,0
Cities known for their cave attractions,Timis苔oara,0
Cities known for their cave attractions,Milan,0
Cities known for their cave attractions,Szczecin,2
Cities known for their cave attractions,Salt Lake City,0
Cities known for their cave attractions,Du虉sseldorf,0
Cities known for their cave attractions,Graz,2
Cities known for their cave attractions,Gdan虂sk,0
Cities known for their cave attractions,Mashhad,0
Cities known for their cave attractions,Strasbourg,0
Cities known for their cave attractions,Sendai,0
Cities known for their cave attractions,San Jose (California),0
Cities known for their cave attractions,Ufa,2
Cities known for their cave attractions,Hamilton (Ontario),0
Cities known for their cave attractions,Istanbul,0
Cities known for their cave attractions,Quebec City,0
Cities known for their cave attractions,Sacramento,0
Cities known for their cave attractions,Kiruna,0
Cities known for their cave attractions,Cagliari,0
Cities known for their cave attractions,Nouakchott,0
Cities known for their cave attractions,Dhaka,0
Cities known for their cave attractions,Fort Lauderdale,0
Cities known for their cave attractions,Memphis,0
Cities known for their cave attractions,Perth,0
Cities known for their cave attractions,Wenzhou,2
Cities known for their cave attractions,Dushanbe,0
Cities known for their cave attractions,Yellowknife,0
Cities known for their cave attractions,Denver,0
Cities known for their cave attractions,Bele虂m,0
Cities known for their cave attractions,Goia虃nia,0
Cities known for their cave attractions,Chihuahua,3
Cities known for their cave attractions,Barbados,3
Cities known for their cave attractions,Cincinnati,2
Cities known for their cave attractions,New York City,0
Cities known for their cave attractions,Aswan,0
Cities known for their cave attractions,I虃les-de-la-Madeleine,3
Cities known for their cave attractions,Pula,0
Cities known for their cave attractions,Missoula,0
Cities known for their cave attractions,Penticton,0
Cities known for their cave attractions,Vancouver,0
Cities known for their cave attractions,Iqaluit,0
Cities known for their cave attractions,Rochester (New York),0
Cities known for their cave attractions,Delhi,0
Cities known for their cave attractions,Yantai,2
Cities known for their cave attractions,Vigo,0
Cities known for their cave attractions,El Paso,2
Cities known for their cave attractions,Pereira,0
Cities known for their cave attractions,Pamplona,0
Cities known for their cave attractions,Birmingham,0
Cities known for their cave attractions,Tongatapu,2
Cities known for their cave attractions,Moroni (Comoros),0
Cities known for their cave attractions,Ankara,3
Cities known for their cave attractions,Aomori,0
Cities known for their cave attractions,Belfast,2
Cities known for their cave attractions,Toronto,0
Cities known for their cave attractions,Haugesund,0
Cities known for their cave attractions,Hargeisa,3
Cities known for their cave attractions,Kashgar,0
Cities known for their cave attractions,Linz,0
Cities known for their cave attractions,Bamako,2
Cities known for their cave attractions,Innsbruck,0
Cities known for their cave attractions,Tauranga,0
Cities known for their cave attractions,Niigata,0
Cities known for their cave attractions,Ottawa,1
Cities known for their cave attractions,Ahmedabad,0
Cities known for their cave attractions,Bod酶,3
Cities known for their cave attractions,Mogadishu,0
Cities known for their cave attractions,Christchurch,0
Cities known for their cave attractions,Riyadh,0
Cities known for their cave attractions,Boston,0
Cities known for their cave attractions,Kharkiv,2
Cities known for their cave attractions,Milwaukee,0
Cities known for their cave attractions,Calvi,2
Cities known for their cave attractions,Mont-Tremblant,0
Cities known for their cave attractions,Manchester,0
Cities known for their cave attractions,Ashgabat,3
Cities known for their cave attractions,Des Moines,0
Cities known for their cave attractions,Rzeszo虂w,0
Cities known for their cave attractions,Columbus,0
Cities known for their cave attractions,Huangshan,0
Cities known for their cave attractions,Obihiro,0
Cities known for their cave attractions,Asahikawa,0
Cities known for their cave attractions,Philadelphia,0
Cities known for their cave attractions,Maracaibo,0
Cities known for their cave attractions,Trujillo (Peru),0
Cities known for their cave attractions,Kingston (Ontario),0
Cities known for their cave attractions,Eugene,0
Cities known for their cave attractions,Hanover,0
Cities known for their cave attractions,Minsk,0
Cities known for their cave attractions,Warsaw,0
Cities known for their cave attractions,Grand Cayman,3
Cities known for their cave attractions,Miyazaki,0
Cities known for their cave attractions,Rochester (Minnesota),3
Cities known for their cave attractions,Amman,3
Cities known for their cave attractions,Visby,0
Cities known for their cave attractions,A虋lesund,0
Cities known for their cave attractions,Lexington (Kentucky),2
Cities known for their cave attractions,Atlanta,0
Cities known for their cave attractions,Montpellier,0
Cities known for their cave attractions,Knoxville,0
Cities known for their cave attractions,Westchester County,0
Cities known for their cave attractions,Churchill,0
Cities known for their cave attractions,Harare,0
Cities known for their cave attractions,Nagasaki,0
Cities known for their cave attractions,Bari,0
Cities known for their cave attractions,Billings,3
Cities known for their cave attractions,Lagos City,0
Cities known for their cave attractions,Charlottesville,0
Cities known for their cave attractions,Seattle,0
Cities known for their cave attractions,Kelowna,0
Cities known for their cave attractions,Yanji,0
Cities known for their cave attractions,Petrolina,0
Cities known for their cave attractions,Edinburgh,0
Cities known for their cave attractions,Aalborg,0
Cities known for their cave attractions,Kansas City,0
Cities known for their cave attractions,Van,0
Cities known for their cave attractions,Isfahan,0
Cities known for their cave attractions,Leipzig,1
Cities known for their cave attractions,Asturias,3
Cities known for their cave attractions,Jeddah,0
Cities known for their cave attractions,Sioux Falls,0
Cities known for their cave attractions,Montego Bay,1
Cities known for their cave attractions,Kingston (Jamaica),0
Cities known for their cave attractions,Moncton,0
Cities known for their cave attractions,Monterey (California),0
Cities known for their cave attractions,Allentown,0
Cities known for their cave attractions,Omaha,0
Cities known for their cave attractions,Nanchang,0
Cities known for their cave attractions,Windhoek,0
Cities known for their cave attractions,Yekaterinburg,2
Cities known for their cave attractions,Livingstone,0
Cities known for their cave attractions,Moscow,0
Cities known for their cave attractions,Timmins,0
Cities known for their cave attractions,Zhanjiang,0
Cities known for their cave attractions,Nashville,0
Cities known for their cave attractions,Libreville,0
Cities known for their cave attractions,Dublin,0
Cities known for their cave attractions,Iwakuni,2
Cities known for their cave attractions,South Bend,0
Cities known for their cave attractions,Jacksonville,0
Cities known for their cave attractions,Manta,2
Cities known for their cave attractions,Hamburg,0
Cities known for their cave attractions,Asmara,0
Cities known for their cave attractions,Glasgow,2
Cities known for their cave attractions,Bydgoszcz,0
Cities known for their cave attractions,Nanaimo,0
Cities known for their cave attractions,Longyearbyen,0
Cities known for their cave attractions,Umea虋,0
Cities known for their cave attractions,Dandong,0
Cities known for their cave attractions,Bozeman,0
Cities known for their cave attractions,Novosibirsk,0
Cities known for their cave attractions,Toyama,0
Cities known for their cave attractions,Boise,0
Cities known for their cave attractions,Ithaca (New York),1
Cities known for their cave attractions,Yinchuan,0
Cities known for their cave attractions,Savannah,0
Cities known for their cave attractions,Buffalo,0
Cities known for their cave attractions,Bermuda,3
Cities known for their cave attractions,Providenciales,0
Cities known for their cave attractions,Austin,0
Cities known for their cave attractions,Bloemfontein,0
Cities known for their cave attractions,Xining,2
Cities known for their cave attractions,Medford (Oregon),0
Cities known for their cave attractions,Miami,0
Cities known for their cave attractions,Sept-I虃les,0
Cities known for their cave attractions,Casablanca,0
Cities known for their cave attractions,Winnipeg,0
Cities known for their cave attractions,Juba,0
Cities known for their cave attractions,Imphal,0
Cities known for their cave attractions,Detroit,0
Cities known for their cave attractions,Shantou,0
Cities known for their cave attractions,Lansing,0
Cities known for their cave attractions,Blenheim (New Zealand),0
Cities known for their cave attractions,Pensacola,0
Cities known for their cave attractions,Charleston (West Virginia),0
Cities known for their cave attractions,Traverse City,0
Cities known for their cave attractions,Rapid City,0
Cities known for their cave attractions,Diyarbak谋r,0
Cities known for their cave attractions,Fort Myers,0
Cities known for their cave attractions,Durango (Colorado),0
Cities known for their cave attractions,Aberdeen,0
Cities known for their cave attractions,Khartoum,0
Cities known for their cave attractions,Kenora,0
Cities known for their cave attractions,Saint Petersburg,0
Cities known for their cave attractions,Lubbock,0
Cities known for their cave attractions,Colorado Springs,3
Cities known for their cave attractions,Wuhan,0
Cities known for their cave attractions,Nantucket,0
Cities known for their cave attractions,Champaign-Urbana,0
Cities known for their cave attractions,Harrisburg,0
Cities known for their cave attractions,Tirupati,1
Cities known for their cave attractions,Konya,0
Cities known for their cave attractions,Baghdad,0
Cities known for their cave attractions,Luanda,0
Cities known for their cave attractions,Kabul,0
Cities known for their cave attractions,Axum,0
Cities known for their cave attractions,Ta'if,0
Cities known for their cave attractions,Mu虉nster,0
Cities known for their cave attractions,Srinagar,0
Cities known for their cave attractions,Gondar,0
Cities known for their cave attractions,Bordeaux,0
Cities known for their cave attractions,Anchorage,0
Cities known for their cave attractions,Red Deer,0
Cities known for their cave attractions,Vijayawada,3
Cities known for their cave attractions,Kagoshima,0
Cities known for their cave attractions,Luxor,0
Cities known for their cave attractions,Kuwait City,0
Cities known for their cave attractions,Dayton,0
Cities known for their cave attractions,Madison,0
Cities known for their cave attractions,Algiers,0
Cities known for their cave attractions,Victoria (British Columbia),0
Cities known for their cave attractions,Rosario,0
Cities known for their cave attractions,Beihai,0
Cities known for their cave attractions,Inuvik,0
Cities known for their cave attractions,Pittsburgh,0
Cities known for their cave attractions,Portland (Oregon),0
Cities known for their cave attractions,Newcastle upon Tyne,0
Cities known for their cave attractions,St. John's,0
Cities known for their cave attractions,Changzhou,0
Cities known for their cave attractions,Napier,0
Cities known for their cave attractions,Adana,0
Cities known for their cave attractions,Sharjah,0
Cities known for their cave attractions,Shijiazhuang,0
Cities known for their cave attractions,Raleigh,0
Cities known for their cave attractions,Flint,0
Cities known for their cave attractions,Cleveland,0
Cities known for their cave attractions,Nantes,0
Cities known for their cave attractions,Toulouse,0
Cities known for their cave attractions,Nassau,0
Cities known for their cave attractions,St. George (Utah),0
Cities known for their cave attractions,Denizli,3
Cities known for their cave attractions,Great Falls (Montana),0
Cities known for their cave attractions,Teresina,0
Cities known for their cave attractions,Port-au-Prince,0
Cities known for their cave attractions,Baltimore,0
Cities known for their cave attractions,Sudbury (Ontario),0
Cities known for their cave attractions,Springfield (Missouri),3
Cities known for their cave attractions,Houston,0
Cities known for their cave attractions,Kalamazoo,0
Cities known for their cave attractions,Charleston (South Carolina),0
Cities known for their cave attractions,Castlegar,0
Cities known for their cave attractions,Corpus Christi,0
Cities known for their cave attractions,Calgary,0
Cities known for their cave attractions,Cork,0
Cities known for their cave attractions,Zunyi,1
Cities known for their cave attractions,O虉stersund,0
Cities known for their cave attractions,Wilmington (North Carolina),0
Cities known for their cave attractions,Tampa,0
Cities known for their cave attractions,Tulsa,0
Cities known for their cave attractions,Karlsruhe,0
Cities known for their cave attractions,Fresno,3
Cities known for their cave attractions,Windsor (Ontario),0
Cities known for their cave attractions,Malatya,0
Cities known for their cave attractions,Santa Rosa (California),0
